"town","tests_total","tests_pos","dt","tests_posn"
"Lenox",397,"<5",2020-11-05,2
"Leominster",3668,"150",2020-11-05,150
"Leverett",291,"<5",2020-11-05,2
"Lexington",2739,"11",2020-11-05,11
"Leyden",14,"0",2020-11-05,0
"Lincoln",531,"<5",2020-11-05,2
"Littleton",846,"19",2020-11-05,19
"Longmeadow",1705,"26",2020-11-05,26
"Lowell",10355,"450",2020-11-05,450
"Ludlow",1708,"29",2020-11-05,29
"Lunenburg",786,"11",2020-11-05,11
"Lynn",8954,"486",2020-11-05,486
"Lynnfield",1178,"17",2020-11-05,17
"Malden",6836,"156",2020-11-05,156
"Manchester",343,"<5",2020-11-05,2
"Mansfield",2009,"39",2020-11-05,39
"Marblehead",1559,"11",2020-11-05,11
"Marion",867,"10",2020-11-05,10
"Marlborough",4193,"110",2020-11-05,110
"Marshfield",1647,"45",2020-11-05,45
"Mashpee",971,"10",2020-11-05,10
"Mattapoisett",439,"14",2020-11-05,14
"Maynard",933,"14",2020-11-05,14
"Medfield",1132,"20",2020-11-05,20
"Medford",15096,"90",2020-11-05,90
"Medway",1049,"15",2020-11-05,15
"Melrose",3047,"28",2020-11-05,28
"Mendon",443,"5",2020-11-05,5
"Merrimac",478,"<5",2020-11-05,2
"Methuen",5483,"207",2020-11-05,207
"Middleborough",1908,"29",2020-11-05,29
"Middlefield",14,"0",2020-11-05,0
"Middleton",758,"10",2020-11-05,10
"Milford",2075,"57",2020-11-05,57
"Millbury",1005,"20",2020-11-05,20
"Millis",599,"5",2020-11-05,5
"Millville",198,"<5",2020-11-05,2
"Milton",4846,"38",2020-11-05,38
"Monroe",3,"0",2020-11-05,0
"Monson",550,"<5",2020-11-05,2
"Montague",699,"5",2020-11-05,5
"Monterey",64,"0",2020-11-05,0
"Montgomery",14,"0",2020-11-05,0
"Mount Washington",3,"0",2020-11-05,0
"Nahant",359,"12",2020-11-05,12
"Nantucket",1353,"40",2020-11-05,40
"Natick",3607,"25",2020-11-05,25
"Needham",3951,"29",2020-11-05,29
"New Ashford",6,"<5",2020-11-05,2
"New Bedford",7752,"397",2020-11-05,397
"New Braintree",66,"0",2020-11-05,0
"New Marlborough",56,"0",2020-11-05,0
"New Salem",67,"0",2020-11-05,0
"Newbury",1138,"8",2020-11-05,8
"Newburyport",1817,"38",2020-11-05,38
"Newton",24464,"72",2020-11-05,72
"Norfolk",1037,"84",2020-11-05,84
"North Adams",1324,"6",2020-11-05,6
"North Andover",10693,"96",2020-11-05,96
"North Attleborough",2384,"45",2020-11-05,45
"North Brookfield",300,"<5",2020-11-05,2
"North Reading",1779,"27",2020-11-05,27
"Northampton",4147,"18",2020-11-05,18
"Northborough",1842,"22",2020-11-05,22
"Northbridge",1081,"10",2020-11-05,10
"Northfield",289,"<5",2020-11-05,2
"Norton",6260,"37",2020-11-05,37
"Norwell",1019,"7",2020-11-05,7
"Norwood",2729,"57",2020-11-05,57
"Oak Bluffs",336,"5",2020-11-05,5
"Oakham",121,"<5",2020-11-05,2
"Orange",560,"<5",2020-11-05,2
"Orleans",256,"0",2020-11-05,0
"Otis",78,"<5",2020-11-05,2
"Oxford",926,"21",2020-11-05,21
"Palmer",932,"23",2020-11-05,23
"Paxton",2005,"11",2020-11-05,11
"Peabody",4781,"124",2020-11-05,124
"Pelham",52,"0",2020-11-05,0
"Pembroke",1181,"28",2020-11-05,28
"Pepperell",701,"6",2020-11-05,6
"Peru",15,"0",2020-11-05,0
"Petersham",98,"<5",2020-11-05,2
"Phillipston",82,"0",2020-11-05,0
"Pittsfield",2809,"29",2020-11-05,29
"Plainfield",33,"0",2020-11-05,0
"Plainville",711,"13",2020-11-05,13
"Plymouth",4275,"97",2020-11-05,97
"Plympton",142,"<5",2020-11-05,2
"Princeton",326,"<5",2020-11-05,2
"Provincetown",236,"<5",2020-11-05,2
"Quincy",8230,"112",2020-11-05,112
"Randolph",3217,"68",2020-11-05,68
"Raynham",1122,"21",2020-11-05,21
"Reading",2460,"26",2020-11-05,26
"Rehoboth",769,"19",2020-11-05,19
"Revere",7631,"377",2020-11-05,377
"Richmond",84,"<5",2020-11-05,2
"Rochester",358,"<5",2020-11-05,2
"Rockland",1264,"44",2020-11-05,44
"Rockport",486,"<5",2020-11-05,2
"Rowe",39,"<5",2020-11-05,2
"Rowley",383,"<5",2020-11-05,2
"Royalston",113,"<5",2020-11-05,2
"Russell",129,"<5",2020-11-05,2
"Rutland",765,"<5",2020-11-05,2
"Salem",5215,"89",2020-11-05,89
"Salisbury",587,"12",2020-11-05,12
"Sandisfield",53,"0",2020-11-05,0
"Sandwich",1178,"11",2020-11-05,11
"Saugus",3103,"99",2020-11-05,99
"Savoy",35,"<5",2020-11-05,2
"Scituate",1249,"12",2020-11-05,12
"Seekonk",1043,"56",2020-11-05,56
"Sharon",1551,"12",2020-11-05,12
"Sheffield",912,"<5",2020-11-05,2
"Shelburne",293,"<5",2020-11-05,2
"Sherborn",337,"0",2020-11-05,0
"Shirley",525,"13",2020-11-05,13
"Shrewsbury",3657,"39",2020-11-05,39
"Shutesbury",164,"0",2020-11-05,0
"Somerset",1804,"93",2020-11-05,93
"Somerville",25360,"98",2020-11-05,98
"South Hadley",2249,"11",2020-11-05,11
"Southampton",456,"8",2020-11-05,8
"Southborough",2189,"13",2020-11-05,13
"Southbridge",1154,"19",2020-11-05,19
"Southwick",636,"14",2020-11-05,14
"Spencer",851,"12",2020-11-05,12
"Springfield",16384,"539",2020-11-05,539
"Sterling",759,"<5",2020-11-05,2
"Stockbridge",93,"0",2020-11-05,0
"Stoneham",2643,"32",2020-11-05,32
"Stoughton",2277,"49",2020-11-05,49
"Stow",662,"5",2020-11-05,5
"Sturbridge",717,"6",2020-11-05,6
"Sudbury",1734,"13",2020-11-05,13
"Sunderland",1667,"<5",2020-11-05,2
"Sutton",740,"9",2020-11-05,9
"Swampscott",1978,"10",2020-11-05,10
"Swansea",1465,"56",2020-11-05,56
"Taunton",4577,"139",2020-11-05,139
"Templeton",687,"14",2020-11-05,14
"Tewksbury",3979,"53",2020-11-05,53
"Tisbury",656,"10",2020-11-05,10
"Tolland",7,"0",2020-11-05,0
"Topsfield",837,"6",2020-11-05,6
"Townsend",616,"15",2020-11-05,15
"Truro",114,"<5",2020-11-05,2
"Tyngsborough",877,"35",2020-11-05,35
"Tyringham",18,"0",2020-11-05,0
"Upton",561,"6",2020-11-05,6
"Uxbridge",1134,"32",2020-11-05,32
"Wakefield",2846,"34",2020-11-05,34
"Wales",92,"<5",2020-11-05,2
"Walpole",2298,"35",2020-11-05,35
"Waltham",19909,"155",2020-11-05,155
"Ware",763,"10",2020-11-05,10
"Wareham",1221,"32",2020-11-05,32
"Warren",255,"<5",2020-11-05,2
"Warwick",46,"<5",2020-11-05,2
"Washington",19,"0",2020-11-05,0
"Watertown",4314,"54",2020-11-05,54
"Wayland",1378,"16",2020-11-05,16
"Webster",1682,"34",2020-11-05,34
"Wellesley",10401,"24",2020-11-05,24
"Wellfleet",125,"<5",2020-11-05,2
"Wendell",69,"0",2020-11-05,0
"Wenham",389,"<5",2020-11-05,2
"West Boylston",645,"11",2020-11-05,11
"West Bridgewater",894,"12",2020-11-05,12
"West Brookfield",441,"<5",2020-11-05,2
"West Newbury",340,"<5",2020-11-05,2
"West Springfield",2169,"95",2020-11-05,95
"West Stockbridge",88,"0",2020-11-05,0
"West Tisbury",208,"0",2020-11-05,0
"Westborough",2068,"36",2020-11-05,36
"Westfield",2804,"100",2020-11-05,100
"Westford",1698,"13",2020-11-05,13
"Westhampton",67,"0",2020-11-05,0
"Westminster",774,"18",2020-11-05,18
"Weston",1640,"7",2020-11-05,7
"Westport",1324,"82",2020-11-05,82
"Westwood",1417,"16",2020-11-05,16
"Weymouth",3735,"64",2020-11-05,64
