"town","tests_total","tests_pos","dt","tests_posn"
"Lenox",265,"<5",2020-09-02,2
"Leominster",1821,"9",2020-09-02,9
"Leverett",207,"0",2020-09-02,0
"Lexington",1496,"<5",2020-09-02,2
"Leyden",7,"0",2020-09-02,0
"Lincoln",336,"<5",2020-09-02,2
"Littleton",539,"<5",2020-09-02,2
"Longmeadow",967,"<5",2020-09-02,2
"Lowell",5320,"69",2020-09-02,69
"Ludlow",907,"10",2020-09-02,10
"Lunenburg",455,"<5",2020-09-02,2
"Lynn",5185,"171",2020-09-02,171
"Lynnfield",702,"7",2020-09-02,7
"Malden",3447,"52",2020-09-02,52
"Manchester",210,"0",2020-09-02,0
"Mansfield",1108,"7",2020-09-02,7
"Marblehead",1025,"<5",2020-09-02,2
"Marion",833,"<5",2020-09-02,2
"Marlborough",1848,"34",2020-09-02,34
"Marshfield",984,"5",2020-09-02,5
"Mashpee",486,"<5",2020-09-02,2
"Mattapoisett",257,"<5",2020-09-02,2
"Maynard",500,"6",2020-09-02,6
"Medfield",702,"0",2020-09-02,0
"Medford",6099,"36",2020-09-02,36
"Medway",671,"6",2020-09-02,6
"Melrose",1815,"5",2020-09-02,5
"Mendon",294,"0",2020-09-02,0
"Merrimac",282,"<5",2020-09-02,2
"Methuen",2394,"39",2020-09-02,39
"Middleborough",866,"12",2020-09-02,12
"Middlefield",9,"0",2020-09-02,0
"Middleton",390,"<5",2020-09-02,2
"Milford",1421,"19",2020-09-02,19
"Millbury",560,"<5",2020-09-02,2
"Millis",364,"<5",2020-09-02,2
"Millville",96,"0",2020-09-02,0
"Milton",3696,"10",2020-09-02,10
"Monroe",2,"0",2020-09-02,0
"Monson",337,"<5",2020-09-02,2
"Montague",413,"0",2020-09-02,0
"Monterey",46,"0",2020-09-02,0
"Montgomery",16,"<5",2020-09-02,2
"Mount Washington",3,"0",2020-09-02,0
"Nahant",163,"<5",2020-09-02,2
"Nantucket",660,"7",2020-09-02,7
"Natick",2169,"9",2020-09-02,9
"Needham",2080,"<5",2020-09-02,2
"New Ashford",15,"0",2020-09-02,0
"New Bedford",3532,"75",2020-09-02,75
"New Braintree",42,"0",2020-09-02,0
"New Marlborough",52,"0",2020-09-02,0
"New Salem",48,"0",2020-09-02,0
"Newbury",321,"<5",2020-09-02,2
