"town","tests_total","tests_pos","dt","tests_posn"
"Abington",685,"9",2020-09-16,9
"Acton",1249,"<5",2020-09-16,2
"Acushnet",344,"<5",2020-09-16,2
"Adams",425,"<5",2020-09-16,2
"Agawam",1621,"11",2020-09-16,11
"Alford",10,"0",2020-09-16,0
"Amesbury",771,"<5",2020-09-16,2
"Amherst",20440,"<5",2020-09-16,2
"Andover",2963,"10",2020-09-16,10
"Aquinnah",12,"0",2020-09-16,0
"Arlington",3110,"14",2020-09-16,14
"Ashburnham",383,"<5",2020-09-16,2
"Ashby",119,"0",2020-09-16,0
"Ashfield",97,"<5",2020-09-16,2
"Ashland",1078,"15",2020-09-16,15
"Athol",533,"<5",2020-09-16,2
"Attleboro",1814,"47",2020-09-16,47
"Auburn",976,"6",2020-09-16,6
"Avon",193,"0",2020-09-16,0
"Ayer",499,"0",2020-09-16,0
"Barnstable",1477,"14",2020-09-16,14
"Barre",272,"<5",2020-09-16,2
"Becket",65,"0",2020-09-16,0
"Bedford",819,"5",2020-09-16,5
"Belchertown",1279,"<5",2020-09-16,2
"Bellingham",676,"<5",2020-09-16,2
"Belmont",1969,"8",2020-09-16,8
"Berkley",277,"<5",2020-09-16,2
"Berlin",191,"0",2020-09-16,0
"Bernardston",152,"0",2020-09-16,0
"Beverly",5577,"12",2020-09-16,12
"Billerica",1900,"18",2020-09-16,18
"Blackstone",318,"<5",2020-09-16,2
"Blandford",44,"0",2020-09-16,0
"Bolton",325,"<5",2020-09-16,2
"Boston",118323,"750",2020-09-16,750
"Bourne",931,"<5",2020-09-16,2
"Boxborough",257,"0",2020-09-16,0
"Boxford",472,"<5",2020-09-16,2
"Boylston",266,"<5",2020-09-16,2
"Braintree",2215,"12",2020-09-16,12
"Brewster",481,"<5",2020-09-16,2
"Bridgewater",2110,"8",2020-09-16,8
"Brimfield",195,"<5",2020-09-16,2
"Brockton",4882,"92",2020-09-16,92
"Brookfield",183,"0",2020-09-16,0
"Brookline",4188,"17",2020-09-16,17
"Buckland",19,"0",2020-09-16,0
"Burlington",1267,"<5",2020-09-16,2
"Cambridge",25496,"34",2020-09-16,34
"Canton",1537,"8",2020-09-16,8
"Carlisle",272,"0",2020-09-16,0
"Carver",445,"8",2020-09-16,8
"Charlemont",80,"0",2020-09-16,0
"Charlton",1086,"<5",2020-09-16,2
"Chatham",206,"<5",2020-09-16,2
"Chelmsford",1603,"28",2020-09-16,28
"Chelsea",3451,"121",2020-09-16,121
"Cheshire",131,"0",2020-09-16,0
"Chester",48,"<5",2020-09-16,2
"Chesterfield",72,"0",2020-09-16,0
"Chicopee",3019,"15",2020-09-16,15
"Chilmark",129,"<5",2020-09-16,2
"Clarksburg",43,"0",2020-09-16,0
"Clinton",666,"15",2020-09-16,15
"Cohasset",381,"<5",2020-09-16,2
"Colrain",80,"0",2020-09-16,0
"Concord",1415,"0",2020-09-16,0
"Conway",122,"0",2020-09-16,0
"Cummington",52,"0",2020-09-16,0
"Dalton",228,"<5",2020-09-16,2
"Danvers",1437,"15",2020-09-16,15
"Dartmouth",2614,"16",2020-09-16,16
"Dedham",1591,"42",2020-09-16,42
"Deerfield",1422,"0",2020-09-16,0
"Dennis",373,"<5",2020-09-16,2
"Dighton",321,"<5",2020-09-16,2
"Douglas",365,"0",2020-09-16,0
"Dover",377,"0",2020-09-16,0
"Dracut",1439,"19",2020-09-16,19
"Dudley",3060,"<5",2020-09-16,2
"Dunstable",158,"0",2020-09-16,0
"Duxbury",765,"13",2020-09-16,13
"East Bridgewater",516,"10",2020-09-16,10
"East Brookfield",97,"0",2020-09-16,0
"East Longmeadow",1186,"8",2020-09-16,8
"Eastham",106,"0",2020-09-16,0
"Easthampton",2218,"5",2020-09-16,5
"Easton",5134,"10",2020-09-16,10
"Edgartown",399,"<5",2020-09-16,2
"Egremont",60,"0",2020-09-16,0
"Erving",125,"0",2020-09-16,0
"Essex",130,"0",2020-09-16,0
"Everett",2895,"111",2020-09-16,111
"Fairhaven",591,"5",2020-09-16,5
"Fall River",3956,"84",2020-09-16,84
"Falmouth",1584,"12",2020-09-16,12
"Fitchburg",2642,"13",2020-09-16,13
"Florida",17,"0",2020-09-16,0
"Foxborough",2234,"8",2020-09-16,8
"Framingham",4519,"119",2020-09-16,119
"Franklin",1502,"11",2020-09-16,11
"Freetown",326,"<5",2020-09-16,2
"Gardner",1048,"6",2020-09-16,6
"Georgetown",428,"<5",2020-09-16,2
"Gill",375,"0",2020-09-16,0
"Gloucester",1048,"6",2020-09-16,6
"Goshen",35,"0",2020-09-16,0
"Gosnold",1,"0",2020-09-16,0
"Grafton",1386,"0",2020-09-16,0
"Granby",454,"<5",2020-09-16,2
"Granville",81,"0",2020-09-16,0
"Great Barrington",1305,"<5",2020-09-16,2
"Greenfield",1127,"<5",2020-09-16,2
"Groton",1014,"<5",2020-09-16,2
"Groveland",281,"<5",2020-09-16,2
"Hadley",1001,"0",2020-09-16,0
"Halifax",321,"<5",2020-09-16,2
"Hamilton",356,"<5",2020-09-16,2
"Hampden",347,"<5",2020-09-16,2
"Hancock",10,"<5",2020-09-16,2
"Hanover",637,"6",2020-09-16,6
"Hanson",447,"5",2020-09-16,5
"Hardwick",145,"0",2020-09-16,0
"Harvard",320,"<5",2020-09-16,2
"Harwich",378,"<5",2020-09-16,2
"Hatfield",221,"0",2020-09-16,0
"Haverhill",3703,"50",2020-09-16,50
"Hawley",2,"0",2020-09-16,0
"Heath",32,"0",2020-09-16,0
"Hingham",1212,"24",2020-09-16,24
"Hinsdale",80,"0",2020-09-16,0
"Holbrook",441,"8",2020-09-16,8
"Holden",1301,"<5",2020-09-16,2
"Holland",117,"0",2020-09-16,0
"Holliston",813,"<5",2020-09-16,2
"Holyoke",2657,"18",2020-09-16,18
"Hopedale",326,"5",2020-09-16,5
"Hopkinton",947,"0",2020-09-16,0
"Hubbardston",225,"0",2020-09-16,0
"Hudson",961,"6",2020-09-16,6
"Hull",406,"5",2020-09-16,5
"Huntington",107,"<5",2020-09-16,2
"Ipswich",599,"<5",2020-09-16,2
"Kingston",669,"<5",2020-09-16,2
"Lakeville",404,"<5",2020-09-16,2
"Lancaster",400,"5",2020-09-16,5
"Lanesborough",135,"0",2020-09-16,0
"Lawrence",4872,"209",2020-09-16,209
"Lee",182,"0",2020-09-16,0
"Leicester",721,"<5",2020-09-16,2
"Lenox",198,"0",2020-09-16,0
"Leominster",1957,"14",2020-09-16,14
"Leverett",253,"0",2020-09-16,0
"Lexington",1913,"9",2020-09-16,9
"Leyden",11,"0",2020-09-16,0
"Lincoln",391,"<5",2020-09-16,2
"Littleton",547,"<5",2020-09-16,2
"Longmeadow",1081,"<5",2020-09-16,2
"Lowell",6358,"105",2020-09-16,105
"Ludlow",1276,"6",2020-09-16,6
"Lunenburg",438,"<5",2020-09-16,2
"Lynn",5469,"180",2020-09-16,180
"Lynnfield",756,"17",2020-09-16,17
"Malden",4786,"57",2020-09-16,57
"Manchester",247,"<5",2020-09-16,2
"Mansfield",1258,"9",2020-09-16,9
"Marblehead",998,"<5",2020-09-16,2
"Marion",933,"0",2020-09-16,0
"Marlborough",1994,"34",2020-09-16,34
"Marshfield",982,"5",2020-09-16,5
"Mashpee",574,"<5",2020-09-16,2
"Mattapoisett",257,"<5",2020-09-16,2
"Maynard",574,"<5",2020-09-16,2
"Medfield",792,"5",2020-09-16,5
"Medford",10125,"40",2020-09-16,40
"Medway",685,"0",2020-09-16,0
"Melrose",2301,"10",2020-09-16,10
"Mendon",314,"6",2020-09-16,6
"Merrimac",344,"<5",2020-09-16,2
"Methuen",2875,"48",2020-09-16,48
"Middleborough",915,"12",2020-09-16,12
"Middlefield",12,"0",2020-09-16,0
"Middleton",398,"<5",2020-09-16,2
"Milford",1414,"18",2020-09-16,18
"Millbury",658,"<5",2020-09-16,2
"Millis",366,"<5",2020-09-16,2
"Millville",131,"<5",2020-09-16,2
"Milton",3946,"10",2020-09-16,10
"Monroe",7,"<5",2020-09-16,2
"Monson",608,"12",2020-09-16,12
"Montague",463,"0",2020-09-16,0
"Monterey",49,"<5",2020-09-16,2
"Montgomery",14,"<5",2020-09-16,2
"Mount Washington",NA,"0",2020-09-16,0
"Nahant",199,"0",2020-09-16,0
"Nantucket",806,"30",2020-09-16,30
"Natick",2184,"11",2020-09-16,11
"Needham",2637,"5",2020-09-16,5
"New Ashford",5,"0",2020-09-16,0
"New Bedford",3903,"131",2020-09-16,131
"New Braintree",49,"0",2020-09-16,0
"New Marlborough",47,"0",2020-09-16,0
"New Salem",56,"0",2020-09-16,0
"Newbury",339,"<5",2020-09-16,2
"Newburyport",1067,"8",2020-09-16,8
"Newton",13172,"53",2020-09-16,53
"Norfolk",538,"<5",2020-09-16,2
"North Adams",1568,"<5",2020-09-16,2
"North Andover",6339,"15",2020-09-16,15
"North Attleborough",1410,"17",2020-09-16,17
"North Brookfield",205,"0",2020-09-16,0
"North Reading",896,"<5",2020-09-16,2
"Northampton",3723,"<5",2020-09-16,2
"Northborough",806,"7",2020-09-16,7
"Northbridge",717,"5",2020-09-16,5
"Northfield",231,"0",2020-09-16,0
"Norton",5084,"14",2020-09-16,14
"Norwell",546,"5",2020-09-16,5
"Norwood",1736,"21",2020-09-16,21
"Oak Bluffs",225,"0",2020-09-16,0
"Oakham",78,"<5",2020-09-16,2
"Orange",370,"0",2020-09-16,0
"Orleans",164,"<5",2020-09-16,2
"Otis",47,"0",2020-09-16,0
"Oxford",605,"<5",2020-09-16,2
"Palmer",655,"7",2020-09-16,7
"Paxton",1877,"<5",2020-09-16,2
"Peabody",3044,"17",2020-09-16,17
"Pelham",27,"0",2020-09-16,0
"Pembroke",672,"6",2020-09-16,6
"Pepperell",472,"<5",2020-09-16,2
"Peru",15,"0",2020-09-16,0
"Petersham",58,"0",2020-09-16,0
"Phillipston",50,"<5",2020-09-16,2
"Pittsfield",1905,"<5",2020-09-16,2
"Plainfield",27,"0",2020-09-16,0
"Plainville",444,"11",2020-09-16,11
"Plymouth",2231,"32",2020-09-16,32
"Plympton",101,"0",2020-09-16,0
"Princeton",236,"0",2020-09-16,0
"Provincetown",98,"0",2020-09-16,0
"Quincy",5323,"44",2020-09-16,44
"Randolph",1792,"12",2020-09-16,12
"Raynham",622,"<5",2020-09-16,2
"Reading",1554,"7",2020-09-16,7
"Rehoboth",411,"<5",2020-09-16,2
"Revere",4426,"160",2020-09-16,160
"Richmond",66,"0",2020-09-16,0
"Rochester",190,"<5",2020-09-16,2
"Rockland",706,"12",2020-09-16,12
"Rockport",276,"<5",2020-09-16,2
