"town","tests_total","tests_pos","dt","tests_posn"
"Lenox",264,"<5",2020-10-07,2
"Leominster",2259,"23",2020-10-07,23
"Leverett",291,"<5",2020-10-07,2
"Lexington",2433,"10",2020-10-07,10
"Leyden",13,"0",2020-10-07,0
"Lincoln",425,"<5",2020-10-07,2
"Littleton",705,"9",2020-10-07,9
"Longmeadow",1152,"<5",2020-10-07,2
"Lowell",8322,"266",2020-10-07,266
"Ludlow",1449,"10",2020-10-07,10
"Lunenburg",553,"<5",2020-10-07,2
"Lynn",6455,"139",2020-10-07,139
"Lynnfield",1020,"12",2020-10-07,12
"Malden",5762,"99",2020-10-07,99
"Manchester",267,"0",2020-10-07,0
"Mansfield",1599,"10",2020-10-07,10
"Marblehead",1301,"5",2020-10-07,5
"Marion",536,"0",2020-10-07,0
"Marlborough",3372,"73",2020-10-07,73
"Marshfield",1300,"19",2020-10-07,19
"Mashpee",727,"<5",2020-10-07,2
"Mattapoisett",295,"<5",2020-10-07,2
"Maynard",707,"<5",2020-10-07,2
"Medfield",974,"<5",2020-10-07,2
"Medford",13696,"50",2020-10-07,50
"Medway",955,"14",2020-10-07,14
"Melrose",3055,"19",2020-10-07,19
"Mendon",350,"<5",2020-10-07,2
"Merrimac",423,"<5",2020-10-07,2
"Methuen",3952,"116",2020-10-07,116
"Middleborough",1124,"7",2020-10-07,7
"Middlefield",16,"0",2020-10-07,0
"Middleton",1189,"84",2020-10-07,84
"Milford",1720,"32",2020-10-07,32
"Millbury",827,"11",2020-10-07,11
"Millis",519,"<5",2020-10-07,2
"Millville",146,"<5",2020-10-07,2
"Milton",4887,"30",2020-10-07,30
"Monroe",6,"0",2020-10-07,0
"Monson",523,"5",2020-10-07,5
"Montague",722,"0",2020-10-07,0
"Monterey",53,"0",2020-10-07,0
"Montgomery",7,"0",2020-10-07,0
"Mount Washington",10,"0",2020-10-07,0
"Nahant",252,"<5",2020-10-07,2
"Nantucket",806,"37",2020-10-07,37
"Natick",3175,"18",2020-10-07,18
"Needham",3483,"21",2020-10-07,21
"New Ashford",1,"0",2020-10-07,0
"New Bedford",4944,"139",2020-10-07,139
"New Braintree",51,"0",2020-10-07,0
"New Marlborough",46,"0",2020-10-07,0
"New Salem",68,"0",2020-10-07,0
"Newbury",386,"0",2020-10-07,0
