"town","tests_total","tests_pos","dt","tests_posn"
"Abington","1176","32",2020-10-22,32
"Acton","1601","7",2020-10-22,7
"Acushnet","849","29",2020-10-22,29
"Adams","500","0",2020-10-22,0
"Agawam","2072","26",2020-10-22,26
"Alford","4","0",2020-10-22,0
"Amesbury","1101","15",2020-10-22,15
"Amherst*","24821","27",2020-10-22,27
"Andover","4296","26",2020-10-22,26
"Aquinnah","21","0",2020-10-22,0
"Arlington","5007","25",2020-10-22,25
"Ashburnham","334","<5",2020-10-22,2
"Ashby","150","<5",2020-10-22,2
"Ashfield","104","0",2020-10-22,0
"Ashland","1537","30",2020-10-22,30
"Athol","856","<5",2020-10-22,2
"Attleboro","3203","78",2020-10-22,78
"Auburn","1333","17",2020-10-22,17
"Avon","306","7",2020-10-22,7
"Ayer","653","5",2020-10-22,5
"Barnstable","2269","24",2020-10-22,24
"Barre","335","<5",2020-10-22,2
"Becket","74","<5",2020-10-22,2
"Bedford","1308","12",2020-10-22,12
"Belchertown","1611","9",2020-10-22,9
"Bellingham","936","13",2020-10-22,13
"Belmont","3160","11",2020-10-22,11
"Berkley","395","11",2020-10-22,11
"Berlin","258","<5",2020-10-22,2
"Bernardston","190","<5",2020-10-22,2
"Beverly","7645","30",2020-10-22,30
"Billerica","3062","41",2020-10-22,41
"Blackstone","598","6",2020-10-22,6
"Blandford","69","0",2020-10-22,0
"Bolton","449","5",2020-10-22,5
"Boston","173409","1166",2020-10-22,1166
"Bourne","1570","6",2020-10-22,6
"Boxborough","364","0",2020-10-22,0
"Boxford","662","10",2020-10-22,10
"Boylston","394","<5",2020-10-22,2
"Braintree","3460","44",2020-10-22,44
"Brewster","550","<5",2020-10-22,2
"Bridgewater*","2880","22",2020-10-22,22
"Brimfield","205","<5",2020-10-22,2
"Brockton","8417","202",2020-10-22,202
"Brookfield","184","<5",2020-10-22,2
"Brookline","9529","20",2020-10-22,20
"Buckland","21","5",2020-10-22,5
"Burlington","1934","26",2020-10-22,26
"Cambridge*","45084","64",2020-10-22,64
"Canton","2323","36",2020-10-22,36
"Carlisle","334","0",2020-10-22,0
"Carver","622","12",2020-10-22,12
"Charlemont","85","0",2020-10-22,0
"Charlton","940","7",2020-10-22,7
"Chatham","365","<5",2020-10-22,2
"Chelmsford*","3014","70",2020-10-22,70
"Chelsea","5043","150",2020-10-22,150
"Cheshire","173","<5",2020-10-22,2
"Chester","57","0",2020-10-22,0
"Chesterfield","74","<5",2020-10-22,2
"Chicopee","4090","76",2020-10-22,76
"Chilmark","159","0",2020-10-22,0
"Clarksburg","78","0",2020-10-22,0
"Clinton","902","18",2020-10-22,18
"Cohasset","613","7",2020-10-22,7
"Colrain","123","<5",2020-10-22,2
"Concord","1750","8",2020-10-22,8
"Conway","125","0",2020-10-22,0
"Cummington","79","0",2020-10-22,0
"Dalton","324","<5",2020-10-22,2
"Danvers","2405","26",2020-10-22,26
"Dartmouth","3022","40",2020-10-22,40
"Dedham","2590","20",2020-10-22,20
"Deerfield","2256","<5",2020-10-22,2
"Dennis","643","7",2020-10-22,7
"Dighton","462","8",2020-10-22,8
"Douglas","548","7",2020-10-22,7
"Dover","564","<5",2020-10-22,2
"Dracut","2381","31",2020-10-22,31
"Dudley","3450","7",2020-10-22,7
"Dunstable","214","<5",2020-10-22,2
"Duxbury","1460","17",2020-10-22,17
"East Bridgewater","853","16",2020-10-22,16
"East Brookfield","141","<5",2020-10-22,2
"East Longmeadow","1376","21",2020-10-22,21
"Eastham","203","<5",2020-10-22,2
"Easthampton","2951","15",2020-10-22,15
"Easton","5728","13",2020-10-22,13
"Edgartown","461","0",2020-10-22,0
"Egremont","57","0",2020-10-22,0
"Erving","136","0",2020-10-22,0
"Essex","173","0",2020-10-22,0
"Everett","4580","159",2020-10-22,159
"Fairhaven","1576","24",2020-10-22,24
"Fall River","5642","131",2020-10-22,131
"Falmouth","2479","9",2020-10-22,9
"Fitchburg","2564","28",2020-10-22,28
"Florida","28","0",2020-10-22,0
"Foxborough","2644","14",2020-10-22,14
"Framingham","7214","159",2020-10-22,159
"Franklin","2205","34",2020-10-22,34
"Freetown","568","<5",2020-10-22,2
"Gardner","1273","9",2020-10-22,9
"Georgetown","641","9",2020-10-22,9
"Gill","177","0",2020-10-22,0
"Gloucester","2953","77",2020-10-22,77
"Goshen","37","0",2020-10-22,0
"Gosnold"," 0","0",2020-10-22,0
"Grafton","1754","11",2020-10-22,11
"Granby","548","5",2020-10-22,5
"Granville","98","0",2020-10-22,0
"Great Barrington","1133","0",2020-10-22,0
"Greenfield","1582","<5",2020-10-22,2
"Groton","1215","5",2020-10-22,5
"Groveland","540","<5",2020-10-22,2
"Hadley","1349","<5",2020-10-22,2
"Halifax","465","<5",2020-10-22,2
"Hamilton","470","0",2020-10-22,0
"Hampden","488","<5",2020-10-22,2
"Hancock","9","0",2020-10-22,0
"Hanover","1148","31",2020-10-22,31
"Hanson","778","22",2020-10-22,22
"Hardwick","99","0",2020-10-22,0
"Harvard","422","<5",2020-10-22,2
"Harwich","608","<5",2020-10-22,2
"Hatfield","300","<5",2020-10-22,2
"Haverhill","7743","121",2020-10-22,121
"Hawley","2","0",2020-10-22,0
"Heath","30","0",2020-10-22,0
"Hingham","2432","39",2020-10-22,39
"Hinsdale","102","0",2020-10-22,0
"Holbrook","821","11",2020-10-22,11
"Holden","1621","<5",2020-10-22,2
"Holland","157","<5",2020-10-22,2
"Holliston","1212","18",2020-10-22,18
"Holyoke","3446","73",2020-10-22,73
"Hopedale","428","<5",2020-10-22,2
"Hopkinton","1330","13",2020-10-22,13
"Hubbardston","302","<5",2020-10-22,2
"Hudson","1630","28",2020-10-22,28
"Hull","608","5",2020-10-22,5
"Huntington","136","<5",2020-10-22,2
"Ipswich","907","5",2020-10-22,5
"Kingston","1279","41",2020-10-22,41
"Lakeville","686","11",2020-10-22,11
"Lancaster","447","<5",2020-10-22,2
"Lanesborough","157","<5",2020-10-22,2
"Lawrence","9175","567",2020-10-22,567
"Lee","257","<5",2020-10-22,2
"Leicester","957","14",2020-10-22,14
"Lenox","273","<5",2020-10-22,2
"Leominster","2711","30",2020-10-22,30
"Leverett","298","0",2020-10-22,0
"Lexington","2685","8",2020-10-22,8
"Leyden","14","0",2020-10-22,0
"Lincoln","515","<5",2020-10-22,2
"Littleton","744","9",2020-10-22,9
"Longmeadow","1592","5",2020-10-22,5
"Lowell","9684","217",2020-10-22,217
"Ludlow","1685","16",2020-10-22,16
"Lunenburg","591","7",2020-10-22,7
"Lynn","7399","244",2020-10-22,244
"Lynnfield","1171","19",2020-10-22,19
"Malden","6391","108",2020-10-22,108
"Manchester","358","<5",2020-10-22,2
"Mansfield","1873","26",2020-10-22,26
"Marblehead","1456","11",2020-10-22,11
"Marion","1166","<5",2020-10-22,2
"Marlborough","3958","121",2020-10-22,121
"Marshfield","1670","36",2020-10-22,36
"Mashpee","819","5",2020-10-22,5
"Mattapoisett","448","8",2020-10-22,8
"Maynard","776","<5",2020-10-22,2
