"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1340,"67",2020-12-03,67
"Acton",2326,"77",2020-12-03,77
"Acushnet",1173,"62",2020-12-03,62
"Adams",798,"15",2020-12-03,15
"Agawam",3274,"158",2020-12-03,158
"Alford",13,"0",2020-12-03,0
"Amesbury",1729,"82",2020-12-03,82
"Amherst",17220,"172",2020-12-03,172
"Andover",5482,"201",2020-12-03,201
"Aquinnah",33,"0",2020-12-03,0
"Arlington",6276,"102",2020-12-03,102
"Ashburnham",512,"18",2020-12-03,18
"Ashby",221,"15",2020-12-03,15
"Ashfield",96,"0",2020-12-03,0
"Ashland",2212,"99",2020-12-03,99
"Athol",890,"26",2020-12-03,26
"Attleboro",3965,"281",2020-12-03,281
"Auburn",1980,"93",2020-12-03,93
"Avon",372,"18",2020-12-03,18
"Ayer",997,"25",2020-12-03,25
"Barnstable",4387,"385",2020-12-03,385
"Barre",394,"13",2020-12-03,13
"Becket",147,"3",2020-12-03,3
"Bedford",1685,"38",2020-12-03,38
"Belchertown",1841,"46",2020-12-03,46
"Bellingham",1412,"92",2020-12-03,92
"Belmont",3703,"63",2020-12-03,63
"Berkley",551,"29",2020-12-03,29
"Berlin",370,"16",2020-12-03,16
"Bernardston",202,"4",2020-12-03,4
"Beverly",8336,"165",2020-12-03,165
"Billerica",4792,"252",2020-12-03,252
"Blackstone",677,"48",2020-12-03,48
"Blandford",86,"3",2020-12-03,3
"Bolton",629,"14",2020-12-03,14
"Boston",192597,"3605",2020-12-03,3605
"Bourne",1986,"56",2020-12-03,56
"Boxborough",499,"16",2020-12-03,16
"Boxford",994,"48",2020-12-03,48
"Boylston",533,"19",2020-12-03,19
"Braintree",5574,"178",2020-12-03,178
"Brewster",932,"11",2020-12-03,11
"Bridgewater",3772,"100",2020-12-03,100
"Brimfield",304,"7",2020-12-03,7
"Brockton",9177,"640",2020-12-03,640
"Brookfield",244,"13",2020-12-03,13
"Brookline",12641,"99",2020-12-03,99
"Buckland",22,"3",2020-12-03,3
"Burlington",2798,"103",2020-12-03,103
"Cambridge",47036,"360",2020-12-03,360
"Canton",2809,"41",2020-12-03,41
"Carlisle",450,"10",2020-12-03,10
"Carver",684,"31",2020-12-03,31
"Charlemont",86,"0",2020-12-03,0
"Charlton",1825,"102",2020-12-03,102
"Chatham",379,"5",2020-12-03,5
"Chelmsford",3704,"208",2020-12-03,208
"Chelsea",5835,"412",2020-12-03,412
"Cheshire",289,"8",2020-12-03,8
"Chester",71,"4",2020-12-03,4
"Chesterfield",61,"0",2020-12-03,0
"Chicopee",6123,"470",2020-12-03,470
"Chilmark",283,"1",2020-12-03,1
"Clarksburg",124,"0",2020-12-03,0
"Clinton",1228,"91",2020-12-03,91
"Cohasset",942,"22",2020-12-03,22
"Colrain",97,"0",2020-12-03,0
"Concord",2822,"75",2020-12-03,75
"Conway",141,"0",2020-12-03,0
"Cummington",82,"3",2020-12-03,3
"Dalton",787,"23",2020-12-03,23
"Danvers",4067,"200",2020-12-03,200
"Dartmouth",4613,"290",2020-12-03,290
"Dedham",3058,"100",2020-12-03,100
"Deerfield",858,"6",2020-12-03,6
"Dennis",873,"28",2020-12-03,28
"Dighton",594,"49",2020-12-03,49
"Douglas",691,"36",2020-12-03,36
"Dover",727,"20",2020-12-03,20
"Dracut",3364,"280",2020-12-03,280
"Dudley",2001,"60",2020-12-03,60
"Dunstable",266,"15",2020-12-03,15
"Duxbury",1491,"35",2020-12-03,35
"East Bridgewater",1155,"50",2020-12-03,50
"East Brookfield",177,"11",2020-12-03,11
"East Longmeadow",2155,"102",2020-12-03,102
"Eastham",245,"6",2020-12-03,6
"Easthampton",2470,"47",2020-12-03,47
"Easton",5202,"102",2020-12-03,102
"Edgartown",952,"34",2020-12-03,34
"Egremont",85,"0",2020-12-03,0
"Erving",143,"3",2020-12-03,3
"Essex",296,"6",2020-12-03,6
"Everett",6589,"553",2020-12-03,553
"Fairhaven",2793,"127",2020-12-03,127
"Fall River",10426,"1158",2020-12-03,1158
"Falmouth",3738,"86",2020-12-03,86
"Fitchburg",3920,"295",2020-12-03,295
"Florida",39,"1",2020-12-03,1
"Foxborough",2756,"72",2020-12-03,72
"Framingham",9342,"471",2020-12-03,471
"Franklin",3193,"123",2020-12-03,123
"Freetown",765,"48",2020-12-03,48
"Gardner",1729,"141",2020-12-03,141
"Georgetown",854,"41",2020-12-03,41
"Gill",172,"4",2020-12-03,4
"Gloucester",2525,"106",2020-12-03,106
"Goshen",52,"4",2020-12-03,4
"Gosnold",0,"0",2020-12-03,0
"Grafton",2282,"95",2020-12-03,95
"Granby",695,"29",2020-12-03,29
"Granville",141,"7",2020-12-03,7
"Great Barrington",1430,"17",2020-12-03,17
"Greenfield",1412,"30",2020-12-03,30
"Groton",1416,"55",2020-12-03,55
"Groveland",674,"28",2020-12-03,28
"Hadley",1360,"8",2020-12-03,8
"Halifax",473,"24",2020-12-03,24
"Hamilton",812,"26",2020-12-03,26
"Hampden",625,"43",2020-12-03,43
"Hancock",18,"2",2020-12-03,2
"Hanover",1124,"59",2020-12-03,59
"Hanson",752,"36",2020-12-03,36
"Hardwick",193,"6",2020-12-03,6
"Harvard",502,"8",2020-12-03,8
"Harwich",889,"34",2020-12-03,34
"Hatfield",370,"3",2020-12-03,3
"Haverhill",8389,"605",2020-12-03,605
"Hawley",7,"0",2020-12-03,0
"Heath",27,"3",2020-12-03,3
"Hingham",3238,"88",2020-12-03,88
"Hinsdale",203,"3",2020-12-03,3
"Holbrook",935,"46",2020-12-03,46
"Holden",2546,"146",2020-12-03,146
"Holland",184,"11",2020-12-03,11
"Holliston",1371,"57",2020-12-03,57
"Holyoke",5885,"373",2020-12-03,373
"Hopedale",552,"35",2020-12-03,35
"Hopkinton",1904,"69",2020-12-03,69
"Hubbardston",358,"12",2020-12-03,12
"Hudson",2099,"117",2020-12-03,117
"Hull",772,"21",2020-12-03,21
"Huntington",164,"3",2020-12-03,3
"Ipswich",1362,"41",2020-12-03,41
"Kingston",1247,"35",2020-12-03,35
"Lakeville",904,"45",2020-12-03,45
"Lancaster",750,"27",2020-12-03,27
"Lanesborough",284,"16",2020-12-03,16
"Lawrence",11678,"1717",2020-12-03,1717
"Lee",628,"21",2020-12-03,21
"Leicester",1097,"63",2020-12-03,63
"Lenox",1112,"55",2020-12-03,55
"Leominster",4073,"333",2020-12-03,333
"Leverett",304,"3",2020-12-03,3
"Lexington",3480,"38",2020-12-03,38
"Leyden",19,"1",2020-12-03,1
"Lincoln",680,"6",2020-12-03,6
"Littleton",1054,"32",2020-12-03,32
"Longmeadow",2365,"43",2020-12-03,43
"Lowell",14249,"1477",2020-12-03,1477
"Ludlow",2465,"233",2020-12-03,233
"Lunenburg",916,"51",2020-12-03,51
"Lynn",11462,"1172",2020-12-03,1172
"Lynnfield",1705,"72",2020-12-03,72
"Malden",8081,"419",2020-12-03,419
"Manchester",698,"17",2020-12-03,17
"Mansfield",2272,"79",2020-12-03,79
"Marblehead",2762,"76",2020-12-03,76
"Marion",750,"39",2020-12-03,39
"Marlborough",5421,"259",2020-12-03,259
"Marshfield",2022,"89",2020-12-03,89
"Mashpee",1402,"39",2020-12-03,39
"Mattapoisett",680,"24",2020-12-03,24
"Maynard",1065,"43",2020-12-03,43
"Medfield",1549,"24",2020-12-03,24
"Medford",20967,"297",2020-12-03,297
"Medway",1282,"32",2020-12-03,32
"Melrose",4624,"164",2020-12-03,164
"Mendon",427,"27",2020-12-03,27
"Merrimac",657,"35",2020-12-03,35
"Methuen",6518,"564",2020-12-03,564
"Middleborough",2163,"94",2020-12-03,94
"Middlefield",21,"1",2020-12-03,1
"Middleton",1226,"89",2020-12-03,89
"Milford",2587,"185",2020-12-03,185
"Millbury",1303,"82",2020-12-03,82
"Millis",733,"20",2020-12-03,20
"Millville",237,"6",2020-12-03,6
"Milton",5246,"146",2020-12-03,146
"Monroe",2,"0",2020-12-03,0
"Monson",731,"39",2020-12-03,39
"Montague",654,"12",2020-12-03,12
"Monterey",85,"1",2020-12-03,1
"Montgomery",23,"0",2020-12-03,0
"Mount Washington",3,"0",2020-12-03,0
"Nahant",692,"17",2020-12-03,17
"Nantucket",1437,"55",2020-12-03,55
"Natick",4926,"104",2020-12-03,104
"Needham",4983,"91",2020-12-03,91
"New Ashford",9,"0",2020-12-03,0
"New Bedford",10650,"815",2020-12-03,815
"New Braintree",85,"5",2020-12-03,5
"New Marlborough",80,"1",2020-12-03,1
"New Salem",63,"1",2020-12-03,1
"Newbury",796,"27",2020-12-03,27
"Newburyport",2623,"107",2020-12-03,107
"Newton",25577,"278",2020-12-03,278
"Norfolk",1044,"92",2020-12-03,92
"North Adams",2152,"25",2020-12-03,25
"North Andover",8307,"174",2020-12-03,174
"North Attleborough",2664,"142",2020-12-03,142
"North Brookfield",331,"27",2020-12-03,27
"North Reading",2342,"95",2020-12-03,95
"Northampton",4535,"52",2020-12-03,52
"Northborough",2044,"76",2020-12-03,76
"Northbridge",1990,"75",2020-12-03,75
"Northfield",234,"0",2020-12-03,0
"Norton",3001,"121",2020-12-03,121
"Norwell",1189,"18",2020-12-03,18
"Norwood",3384,"130",2020-12-03,130
"Oak Bluffs",524,"19",2020-12-03,19
"Oakham",183,"4",2020-12-03,4
"Orange",545,"9",2020-12-03,9
"Orleans",341,"10",2020-12-03,10
"Otis",120,"2",2020-12-03,2
