"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1312,"47",2020-11-12,47
"Acton",1825,"24",2020-11-12,24
"Acushnet",1237,"50",2020-11-12,50
"Adams",580,"3",2020-11-12,3
"Agawam",2978,"110",2020-11-12,110
"Alford",16,"0",2020-11-12,0
"Amesbury",1222,"27",2020-11-12,27
"Amherst",24917,"84",2020-11-12,84
"Andover",5926,"111",2020-11-12,111
"Aquinnah",31,"0",2020-11-12,0
"Arlington",5605,"45",2020-11-12,45
"Ashburnham",701,"14",2020-11-12,14
"Ashby",228,"8",2020-11-12,8
"Ashfield",121,"1",2020-11-12,1
"Ashland",1996,"79",2020-11-12,79
"Athol",1163,"23",2020-11-12,23
"Attleboro",3671,"151",2020-11-12,151
"Auburn",1785,"52",2020-11-12,52
"Avon",375,"14",2020-11-12,14
"Ayer",723,"9",2020-11-12,9
"Barnstable",2312,"76",2020-11-12,76
"Barre",373,"5",2020-11-12,5
"Becket",109,"1",2020-11-12,1
"Bedford",1414,"15",2020-11-12,15
"Belchertown",1911,"30",2020-11-12,30
"Bellingham",1137,"45",2020-11-12,45
"Belmont",3418,"38",2020-11-12,38
"Berkley",622,"26",2020-11-12,26
"Berlin",286,"6",2020-11-12,6
"Bernardston",221,"1",2020-11-12,1
"Beverly",9190,"116",2020-11-12,116
"Billerica",3612,"92",2020-11-12,92
"Blackstone",657,"21",2020-11-12,21
"Blandford",93,"6",2020-11-12,6
"Bolton",557,"16",2020-11-12,16
"Boston",199549,"2599",2020-11-12,2599
"Bourne",1736,"37",2020-11-12,37
"Boxborough",372,"6",2020-11-12,6
"Boxford",764,"14",2020-11-12,14
"Boylston",477,"15",2020-11-12,15
"Braintree",3868,"86",2020-11-12,86
"Brewster",503,"3",2020-11-12,3
"Bridgewater",4103,"40",2020-11-12,40
"Brimfield",244,"7",2020-11-12,7
"Brockton",8887,"411",2020-11-12,411
"Brookfield",254,"7",2020-11-12,7
"Brookline",11552,"75",2020-11-12,75
"Buckland",11,"0",2020-11-12,0
"Burlington",2319,"47",2020-11-12,47
"Cambridge",48102,"155",2020-11-12,155
"Canton",2523,"29",2020-11-12,29
"Carlisle",448,"5",2020-11-12,5
"Carver",668,"27",2020-11-12,27
"Charlemont",101,"0",2020-11-12,0
"Charlton",999,"23",2020-11-12,23
"Chatham",312,"10",2020-11-12,10
"Chelmsford",3169,"89",2020-11-12,89
"Chelsea",5606,"354",2020-11-12,354
"Cheshire",195,"2",2020-11-12,2
"Chester",60,"0",2020-11-12,0
"Chesterfield",72,"3",2020-11-12,3
"Chicopee",5219,"235",2020-11-12,235
"Chilmark",210,"0",2020-11-12,0
"Clarksburg",74,"1",2020-11-12,1
"Clinton",1211,"71",2020-11-12,71
"Cohasset",688,"11",2020-11-12,11
"Colrain",134,"0",2020-11-12,0
"Concord",2847,"14",2020-11-12,14
"Conway",128,"0",2020-11-12,0
"Cummington",62,"1",2020-11-12,1
"Dalton",461,"9",2020-11-12,9
"Danvers",3180,"62",2020-11-12,62
"Dartmouth",4007,"184",2020-11-12,184
"Dedham",3296,"43",2020-11-12,43
"Deerfield",2518,"4",2020-11-12,4
"Dennis",637,"9",2020-11-12,9
"Dighton",660,"37",2020-11-12,37
"Douglas",701,"28",2020-11-12,28
"Dover",650,"6",2020-11-12,6
"Dracut",2773,"134",2020-11-12,134
"Dudley",3344,"20",2020-11-12,20
"Dunstable",258,"8",2020-11-12,8
"Duxbury",1251,"15",2020-11-12,15
"East Bridgewater",914,"20",2020-11-12,20
"East Brookfield",141,"2",2020-11-12,2
"East Longmeadow",2172,"82",2020-11-12,82
"Eastham",152,"2",2020-11-12,2
"Easthampton",3140,"33",2020-11-12,33
"Easton",6153,"53",2020-11-12,53
"Edgartown",572,"18",2020-11-12,18
"Egremont",72,"0",2020-11-12,0
"Erving",201,"0",2020-11-12,0
"Essex",226,"3",2020-11-12,3
"Everett",5676,"387",2020-11-12,387
"Fairhaven",2207,"97",2020-11-12,97
"Fall River",10480,"931",2020-11-12,931
"Falmouth",2580,"26",2020-11-12,26
"Fitchburg",4642,"321",2020-11-12,321
"Florida",34,"0",2020-11-12,0
"Foxborough",2751,"39",2020-11-12,39
"Framingham",8476,"275",2020-11-12,275
"Franklin",2611,"69",2020-11-12,69
"Freetown",792,"33",2020-11-12,33
"Gardner",1839,"71",2020-11-12,71
"Georgetown",729,"17",2020-11-12,17
"Gill",473,"1",2020-11-12,1
"Gloucester",1674,"27",2020-11-12,27
"Goshen",31,"1",2020-11-12,1
"Gosnold",1,"0",2020-11-12,0
"Grafton",2077,"33",2020-11-12,33
"Granby",632,"12",2020-11-12,12
"Granville",107,"2",2020-11-12,2
"Great Barrington",1433,"1",2020-11-12,1
"Greenfield",1657,"11",2020-11-12,11
"Groton",1386,"10",2020-11-12,10
"Groveland",538,"9",2020-11-12,9
"Hadley",1376,"3",2020-11-12,3
"Halifax",456,"4",2020-11-12,4
"Hamilton",570,"12",2020-11-12,12
"Hampden",583,"18",2020-11-12,18
"Hancock",6,"0",2020-11-12,0
"Hanover",1092,"45",2020-11-12,45
"Hanson",719,"20",2020-11-12,20
"Hardwick",160,"2",2020-11-12,2
"Harvard",446,"1",2020-11-12,1
"Harwich",587,"10",2020-11-12,10
"Hatfield",328,"2",2020-11-12,2
"Haverhill",6813,"231",2020-11-12,231
"Hawley",4,"0",2020-11-12,0
"Heath",47,"0",2020-11-12,0
"Hingham",2176,"33",2020-11-12,33
"Hinsdale",134,"1",2020-11-12,1
"Holbrook",917,"21",2020-11-12,21
"Holden",2170,"42",2020-11-12,42
"Holland",152,"1",2020-11-12,1
"Holliston",1364,"33",2020-11-12,33
"Holyoke",4906,"298",2020-11-12,298
"Hopedale",527,"11",2020-11-12,11
"Hopkinton",1647,"19",2020-11-12,19
"Hubbardston",424,"2",2020-11-12,2
"Hudson",1630,"43",2020-11-12,43
"Hull",623,"13",2020-11-12,13
"Huntington",180,"4",2020-11-12,4
"Ipswich",1058,"18",2020-11-12,18
"Kingston",1266,"24",2020-11-12,24
"Lakeville",898,"20",2020-11-12,20
"Lancaster",618,"20",2020-11-12,20
"Lanesborough",225,"7",2020-11-12,7
"Lawrence",11253,"1326",2020-11-12,1326
"Lee",424,"6",2020-11-12,6
"Leicester",1068,"30",2020-11-12,30
"Lenox",536,"8",2020-11-12,8
"Leominster",4710,"273",2020-11-12,273
"Leverett",332,"4",2020-11-12,4
"Lexington",2970,"23",2020-11-12,23
"Leyden",13,"0",2020-11-12,0
"Lincoln",576,"6",2020-11-12,6
"Littleton",825,"14",2020-11-12,14
"Longmeadow",1979,"34",2020-11-12,34
"Lowell",11730,"757",2020-11-12,757
"Ludlow",2106,"76",2020-11-12,76
"Lunenburg",979,"36",2020-11-12,36
"Lynn",9870,"738",2020-11-12,738
"Lynnfield",1261,"32",2020-11-12,32
"Malden",7369,"240",2020-11-12,240
"Manchester",425,"8",2020-11-12,8
"Mansfield",2175,"37",2020-11-12,37
"Marblehead",1751,"23",2020-11-12,23
"Marion",1698,"50",2020-11-12,50
"Marlborough",4069,"142",2020-11-12,142
"Marshfield",1768,"54",2020-11-12,54
"Mashpee",882,"10",2020-11-12,10
"Mattapoisett",490,"27",2020-11-12,27
"Maynard",951,"19",2020-11-12,19
"Medfield",1173,"21",2020-11-12,21
"Medford",15832,"152",2020-11-12,152
"Medway",1153,"20",2020-11-12,20
"Melrose",3377,"62",2020-11-12,62
"Mendon",494,"13",2020-11-12,13
"Merrimac",575,"11",2020-11-12,11
"Methuen",5864,"354",2020-11-12,354
"Middleborough",2060,"39",2020-11-12,39
"Middlefield",18,"0",2020-11-12,0
"Middleton",922,"17",2020-11-12,17
"Milford",2357,"138",2020-11-12,138
"Millbury",1152,"25",2020-11-12,25
"Millis",645,"9",2020-11-12,9
"Millville",227,"8",2020-11-12,8
"Milton",5151,"51",2020-11-12,51
"Monroe",3,"0",2020-11-12,0
"Monson",698,"10",2020-11-12,10
"Montague",668,"8",2020-11-12,8
"Monterey",61,"0",2020-11-12,0
"Montgomery",19,"1",2020-11-12,1
"Mount Washington",5,"0",2020-11-12,0
"Nahant",393,"14",2020-11-12,14
"Nantucket",1469,"54",2020-11-12,54
"Natick",3968,"45",2020-11-12,45
"Needham",4162,"43",2020-11-12,43
"New Ashford",8,"1",2020-11-12,1
"New Bedford",8198,"506",2020-11-12,506
"New Braintree",64,"0",2020-11-12,0
"New Marlborough",66,"0",2020-11-12,0
"New Salem",65,"2",2020-11-12,2
"Newbury",1144,"16",2020-11-12,16
"Newburyport",2114,"56",2020-11-12,56
"Newton",25110,"92",2020-11-12,92
"Norfolk",2207,"256",2020-11-12,256
"North Adams",1456,"10",2020-11-12,10
"North Andover",10474,"127",2020-11-12,127
"North Attleborough",2472,"56",2020-11-12,56
"North Brookfield",296,"5",2020-11-12,5
"North Reading",2028,"52",2020-11-12,52
"Northampton",4659,"36",2020-11-12,36
"Northborough",1828,"32",2020-11-12,32
"Northbridge",1454,"50",2020-11-12,50
"Northfield",281,"0",2020-11-12,0
"Norton",6474,"64",2020-11-12,64
"Norwell",1122,"14",2020-11-12,14
"Norwood",3117,"91",2020-11-12,91
"Oak Bluffs",408,"6",2020-11-12,6
"Oakham",116,"1",2020-11-12,1
"Orange",635,"7",2020-11-12,7
"Orleans",240,"1",2020-11-12,1
"Otis",78,"3",2020-11-12,3
"Oxford",983,"41",2020-11-12,41
"Palmer",1036,"36",2020-11-12,36
"Paxton",1890,"20",2020-11-12,20
"Peabody",5407,"191",2020-11-12,191
"Pelham",57,"0",2020-11-12,0
"Pembroke",1222,"22",2020-11-12,22
"Pepperell",744,"7",2020-11-12,7
"Peru",20,"0",2020-11-12,0
"Petersham",108,"6",2020-11-12,6
"Phillipston",99,"0",2020-11-12,0
"Pittsfield",3770,"104",2020-11-12,104
"Plainfield",52,"1",2020-11-12,1
"Plainville",831,"29",2020-11-12,29
"Plymouth",4278,"120",2020-11-12,120
"Plympton",162,"4",2020-11-12,4
"Princeton",361,"2",2020-11-12,2
"Provincetown",204,"2",2020-11-12,2
"Quincy",9040,"158",2020-11-12,158
"Randolph",3503,"121",2020-11-12,121
"Raynham",1228,"35",2020-11-12,35
"Reading",2897,"57",2020-11-12,57
"Rehoboth",878,"43",2020-11-12,43
"Revere",8094,"538",2020-11-12,538
