"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1210,"26",2020-10-29,26
"Acton",1563,"11",2020-10-29,11
"Acushnet",987,"42",2020-10-29,42
"Adams",491,"0",2020-10-29,0
"Agawam",2256,"72",2020-10-29,72
"Alford",6,"0",2020-10-29,0
"Amesbury",1063,"13",2020-10-29,13
"Amherst",24116,"16",2020-10-29,16
"Andover",4633,"33",2020-10-29,33
"Aquinnah",19,"<5",2020-10-29,2
"Arlington",5038,"42",2020-10-29,42
"Ashburnham",428,"7",2020-10-29,7
"Ashby",170,"<5",2020-10-29,2
"Ashfield",104,"0",2020-10-29,0
"Ashland",1594,"35",2020-10-29,35
"Athol",1001,"14",2020-10-29,14
"Attleboro",3165,"63",2020-10-29,63
"Auburn",1350,"17",2020-10-29,17
"Avon",297,"7",2020-10-29,7
"Ayer",628,"<5",2020-10-29,2
"Barnstable",2443,"32",2020-10-29,32
"Barre",396,"<5",2020-10-29,2
"Becket",79,"0",2020-10-29,0
"Bedford",1329,"19",2020-10-29,19
"Belchertown",1592,"12",2020-10-29,12
"Bellingham",959,"21",2020-10-29,21
"Belmont",3134,"16",2020-10-29,16
"Berkley",414,"15",2020-10-29,15
"Berlin",255,"0",2020-10-29,0
"Bernardston",184,"<5",2020-10-29,2
"Beverly",8428,"65",2020-10-29,65
"Billerica",2982,"66",2020-10-29,66
"Blackstone",574,"10",2020-10-29,10
"Blandford",72,"7",2020-10-29,7
"Bolton",414,"7",2020-10-29,7
"Boston",178525,"1536",2020-10-29,1536
"Bourne",1749,"15",2020-10-29,15
"Boxborough",318,"<5",2020-10-29,2
"Boxford",680,"9",2020-10-29,9
"Boylston",373,"<5",2020-10-29,2
"Braintree",3680,"56",2020-10-29,56
"Brewster",546,"<5",2020-10-29,2
"Bridgewater*",2855,"34",2020-10-29,34
"Brimfield",219,"5",2020-10-29,5
"Brockton",8491,"287",2020-10-29,287
"Brookfield",182,"0",2020-10-29,0
"Brookline",9528,"19",2020-10-29,19
"Buckland",22,"6",2020-10-29,6
"Burlington",1903,"30",2020-10-29,30
"Cambridge",44574,"61",2020-10-29,61
"Canton",2393,"40",2020-10-29,40
