"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1386,"64",2020-11-27,64
"Acton",2243,"56",2020-11-27,56
"Acushnet",1181,"58",2020-11-27,58
"Adams",794,"12",2020-11-27,12
"Agawam",3379,"140",2020-11-27,140
"Alford",13,"0",2020-11-27,0
"Amesbury",1705,"61",2020-11-27,61
"Amherst",24734,"179",2020-11-27,179
"Andover",6879,"246",2020-11-27,246
"Aquinnah",41,"0",2020-11-27,0
"Arlington",6433,"95",2020-11-27,95
"Ashburnham",719,"24",2020-11-27,24
"Ashby",266,"17",2020-11-27,17
"Ashfield",125,"0",2020-11-27,0
"Ashland",2307,"94",2020-11-27,94
"Athol",984,"19",2020-11-27,19
"Attleboro",4423,"309",2020-11-27,309
"Auburn",2115,"85",2020-11-27,85
"Avon",384,"24",2020-11-27,24
"Ayer",990,"18",2020-11-27,18
"Barnstable",3933,"307",2020-11-27,307
"Barre",409,"12",2020-11-27,12
"Becket",165,"2",2020-11-27,2
"Bedford",1611,"25",2020-11-27,25
"Belchertown",2020,"36",2020-11-27,36
"Bellingham",1536,"78",2020-11-27,78
"Belmont",3875,"46",2020-11-27,46
"Berkley",644,"29",2020-11-27,29
"Berlin",380,"9",2020-11-27,9
"Bernardston",230,"6",2020-11-27,6
"Beverly",10366,"189",2020-11-27,189
"Billerica",4905,"244",2020-11-27,244
"Blackstone",775,"39",2020-11-27,39
"Blandford",81,"0",2020-11-27,0
"Bolton",589,"15",2020-11-27,15
"Boston",219762,"3814",2020-11-27,3814
"Bourne",2052,"50",2020-11-27,50
"Boxborough",483,"16",2020-11-27,16
"Boxford",999,"34",2020-11-27,34
"Boylston",537,"14",2020-11-27,14
"Braintree",5385,"151",2020-11-27,151
"Brewster",678,"9",2020-11-27,9
"Bridgewater",3795,"80",2020-11-27,80
"Brimfield",298,"12",2020-11-27,12
"Brockton",9876,"618",2020-11-27,618
"Brookfield",261,"16",2020-11-27,16
"Brookline",13397,"113",2020-11-27,113
"Buckland",20,"1",2020-11-27,1
"Burlington",2628,"98",2020-11-27,98
"Cambridge",55498,"401",2020-11-27,401
"Canton",3052,"35",2020-11-27,35
"Carlisle",411,"8",2020-11-27,8
"Carver",658,"17",2020-11-27,17
"Charlemont",96,"0",2020-11-27,0
"Charlton",1859,"81",2020-11-27,81
"Chatham",372,"6",2020-11-27,6
"Chelmsford",3793,"193",2020-11-27,193
"Chelsea",6383,"461",2020-11-27,461
"Cheshire",329,"9",2020-11-27,9
"Chester",81,"2",2020-11-27,2
"Chesterfield",70,"0",2020-11-27,0
"Chicopee",6655,"400",2020-11-27,400
"Chilmark",272,"4",2020-11-27,4
"Clarksburg",113,"4",2020-11-27,4
"Clinton",1290,"80",2020-11-27,80
"Cohasset",927,"11",2020-11-27,11
"Colrain",124,"0",2020-11-27,0
"Concord",3244,"120",2020-11-27,120
"Conway",148,"0",2020-11-27,0
"Cummington",103,"2",2020-11-27,2
"Dalton",865,"21",2020-11-27,21
"Danvers",3944,"167",2020-11-27,167
"Dartmouth",4776,"312",2020-11-27,312
"Dedham",3313,"77",2020-11-27,77
"Deerfield",2023,"6",2020-11-27,6
"Dennis",870,"19",2020-11-27,19
"Dighton",739,"63",2020-11-27,63
"Douglas",774,"47",2020-11-27,47
"Dover",722,"16",2020-11-27,16
"Dracut",3426,"204",2020-11-27,204
"Dudley",3269,"78",2020-11-27,78
"Dunstable",277,"14",2020-11-27,14
"Duxbury",1357,"30",2020-11-27,30
"East Bridgewater",1116,"30",2020-11-27,30
"East Brookfield",182,"8",2020-11-27,8
"East Longmeadow",2238,"114",2020-11-27,114
"Eastham",217,"7",2020-11-27,7
"Easthampton",3322,"35",2020-11-27,35
"Easton",6445,"106",2020-11-27,106
"Edgartown",955,"38",2020-11-27,38
"Egremont",96,"1",2020-11-27,1
"Erving",165,"3",2020-11-27,3
"Essex",279,"4",2020-11-27,4
"Everett",6936,"586",2020-11-27,586
"Fairhaven",2439,"128",2020-11-27,128
"Fall River",12517,"1391",2020-11-27,1391
"Falmouth",3013,"48",2020-11-27,48
"Fitchburg",4726,"366",2020-11-27,366
"Florida",35,"0",2020-11-27,0
"Foxborough",2805,"84",2020-11-27,84
"Framingham",9589,"448",2020-11-27,448
"Franklin",3117,"123",2020-11-27,123
"Freetown",824,"44",2020-11-27,44
"Gardner",1912,"97",2020-11-27,97
"Georgetown",886,"36",2020-11-27,36
"Gill",358,"1",2020-11-27,1
"Gloucester",2295,"87",2020-11-27,87
"Goshen",57,"3",2020-11-27,3
"Gosnold",0,"0",2020-11-27,0
"Grafton",2457,"85",2020-11-27,85
"Granby",764,"23",2020-11-27,23
"Granville",141,"7",2020-11-27,7
"Great Barrington",2013,"14",2020-11-27,14
"Greenfield",1639,"20",2020-11-27,20
"Groton",1487,"39",2020-11-27,39
"Groveland",661,"25",2020-11-27,25
"Hadley",1539,"7",2020-11-27,7
"Halifax",506,"21",2020-11-27,21
"Hamilton",794,"15",2020-11-27,15
"Hampden",690,"48",2020-11-27,48
"Hancock",17,"2",2020-11-27,2
"Hanover",1143,"44",2020-11-27,44
"Hanson",789,"33",2020-11-27,33
"Hardwick",201,"6",2020-11-27,6
"Harvard",512,"6",2020-11-27,6
"Harwich",926,"17",2020-11-27,17
"Hatfield",439,"15",2020-11-27,15
"Haverhill",8541,"466",2020-11-27,466
"Hawley",8,"0",2020-11-27,0
"Heath",35,"0",2020-11-27,0
"Hingham",2553,"60",2020-11-27,60
"Hinsdale",217,"2",2020-11-27,2
"Holbrook",1032,"35",2020-11-27,35
"Holden",2498,"111",2020-11-27,111
"Holland",178,"7",2020-11-27,7
"Holliston",1477,"52",2020-11-27,52
"Holyoke",6127,"382",2020-11-27,382
"Hopedale",675,"34",2020-11-27,34
"Hopkinton",1881,"48",2020-11-27,48
"Hubbardston",390,"15",2020-11-27,15
"Hudson",2273,"105",2020-11-27,105
"Hull",786,"28",2020-11-27,28
"Huntington",169,"6",2020-11-27,6
"Ipswich",1308,"56",2020-11-27,56
"Kingston",1309,"29",2020-11-27,29
"Lakeville",978,"45",2020-11-27,45
"Lancaster",687,"38",2020-11-27,38
"Lanesborough",321,"13",2020-11-27,13
"Lawrence",13548,"1828",2020-11-27,1828
"Lee",748,"30",2020-11-27,30
"Leicester",1135,"60",2020-11-27,60
"Lenox",909,"31",2020-11-27,31
"Leominster",4659,"377",2020-11-27,377
"Leverett",321,"1",2020-11-27,1
"Lexington",3499,"30",2020-11-27,30
"Leyden",19,"1",2020-11-27,1
"Lincoln",715,"7",2020-11-27,7
"Littleton",973,"29",2020-11-27,29
"Longmeadow",2603,"57",2020-11-27,57
"Lowell",14957,"1523",2020-11-27,1523
"Ludlow",2675,"174",2020-11-27,174
"Lunenburg",1044,"72",2020-11-27,72
"Lynn",12562,"1251",2020-11-27,1251
"Lynnfield",1736,"71",2020-11-27,71
"Malden",8580,"407",2020-11-27,407
"Manchester",559,"6",2020-11-27,6
"Mansfield",2399,"69",2020-11-27,69
"Marblehead",2459,"68",2020-11-27,68
"Marion",1159,"38",2020-11-27,38
"Marlborough",5043,"228",2020-11-27,228
"Marshfield",1967,"72",2020-11-27,72
"Mashpee",1302,"31",2020-11-27,31
"Mattapoisett",626,"19",2020-11-27,19
"Maynard",1144,"45",2020-11-27,45
"Medfield",1592,"37",2020-11-27,37
"Medford",19988,"273",2020-11-27,273
"Medway",1364,"37",2020-11-27,37
"Melrose",4536,"143",2020-11-27,143
"Mendon",497,"27",2020-11-27,27
"Merrimac",626,"33",2020-11-27,33
"Methuen",7274,"546",2020-11-27,546
"Middleborough",2131,"88",2020-11-27,88
"Middlefield",29,"0",2020-11-27,0
"Middleton",1211,"63",2020-11-27,63
"Milford",2738,"177",2020-11-27,177
"Millbury",1407,"94",2020-11-27,94
"Millis",767,"18",2020-11-27,18
"Millville",273,"9",2020-11-27,9
"Milton",6025,"131",2020-11-27,131
"Monroe",5,"0",2020-11-27,0
"Monson",810,"45",2020-11-27,45
"Montague",747,"11",2020-11-27,11
"Monterey",80,"0",2020-11-27,0
"Montgomery",24,"0",2020-11-27,0
"Mount Washington",3,"0",2020-11-27,0
