"town","tests_total","tests_pos","dt","tests_posn"
"Abington",258,"4",2020-07-15,4
"Acton",428,"6",2020-07-15,6
"Acushnet",100,"4",2020-07-15,4
"Adams",130,"0",2020-07-15,0
"Agawam",694,"29",2020-07-15,29
"Alford",2,"0",2020-07-15,0
"Amesbury",309,"6",2020-07-15,6
"Amherst",482,"4",2020-07-15,4
"Andover",817,"2",2020-07-15,2
"Aquinnah",27,"0",2020-07-15,0
"Arlington",870,"4",2020-07-15,4
"Ashburnham",123,"1",2020-07-15,1
"Ashby",46,"0",2020-07-15,0
"Ashfield",34,"2",2020-07-15,2
"Ashland",273,"7",2020-07-15,7
"Athol",271,"2",2020-07-15,2
"Attleboro",626,"9",2020-07-15,9
"Auburn",288,"2",2020-07-15,2
"Avon",62,"2",2020-07-15,2
"Ayer",166,"1",2020-07-15,1
"Barnstable",862,"7",2020-07-15,7
"Barre",107,"0",2020-07-15,0
"Becket",39,"1",2020-07-15,1
"Bedford",408,"8",2020-07-15,8
"Belchertown",260,"2",2020-07-15,2
"Bellingham",247,"8",2020-07-15,8
"Belmont",545,"3",2020-07-15,3
"Berkley",64,"2",2020-07-15,2
"Berlin",47,"0",2020-07-15,0
"Bernardston",39,"0",2020-07-15,0
"Beverly",822,"11",2020-07-15,11
"Billerica",794,"27",2020-07-15,27
"Blackstone",154,"5",2020-07-15,5
"Blandford",16,"0",2020-07-15,0
"Bolton",97,"0",2020-07-15,0
"Boston",18043,"416",2020-07-15,416
"Bourne",352,"4",2020-07-15,4
"Boxborough",70,"1",2020-07-15,1
"Boxford",175,"1",2020-07-15,1
"Boylston",88,"2",2020-07-15,2
"Braintree",749,"11",2020-07-15,11
"Brewster",280,"4",2020-07-15,4
"Bridgewater",347,"1",2020-07-15,1
"Brimfield",75,"1",2020-07-15,1
"Brockton",1635,"64",2020-07-15,64
"Brookfield",74,"1",2020-07-15,1
"Brookline",1336,"17",2020-07-15,17
"Buckland",4,"0",2020-07-15,0
"Burlington",455,"2",2020-07-15,2
"Cambridge",3108,"22",2020-07-15,22
"Canton",402,"6",2020-07-15,6
"Carlisle",106,"2",2020-07-15,2
"Carver",163,"3",2020-07-15,3
"Charlemont",29,"1",2020-07-15,1
"Charlton",283,"9",2020-07-15,9
"Chatham",121,"2",2020-07-15,2
"Chelmsford",656,"11",2020-07-15,11
"Chelsea",1694,"80",2020-07-15,80
"Cheshire",49,"0",2020-07-15,0
"Chester",17,"0",2020-07-15,0
"Chesterfield",15,"1",2020-07-15,1
"Chicopee",1000,"29",2020-07-15,29
"Chilmark",184,"0",2020-07-15,0
"Clarksburg",17,"0",2020-07-15,0
"Clinton",244,"6",2020-07-15,6
"Cohasset",109,"0",2020-07-15,0
"Colrain",27,"0",2020-07-15,0
"Concord",510,"7",2020-07-15,7
"Conway",49,"0",2020-07-15,0
"Cummington",21,"0",2020-07-15,0
"Dalton",100,"0",2020-07-15,0
"Danvers",874,"10",2020-07-15,10
"Dartmouth",434,"10",2020-07-15,10
"Dedham",576,"10",2020-07-15,10
"Deerfield",117,"2",2020-07-15,2
"Dennis",272,"3",2020-07-15,3
"Dighton",54,"0",2020-07-15,0
"Douglas",141,"2",2020-07-15,2
"Dover",108,"0",2020-07-15,0
"Dracut",725,"17",2020-07-15,17
"Dudley",265,"5",2020-07-15,5
"Dunstable",44,"0",2020-07-15,0
"Duxbury",308,"3",2020-07-15,3
"East Bridgewater",177,"1",2020-07-15,1
"East Brookfield",53,"0",2020-07-15,0
"East Longmeadow",296,"0",2020-07-15,0
"Eastham",90,"0",2020-07-15,0
"Easthampton",375,"3",2020-07-15,3
"Easton",326,"4",2020-07-15,4
"Edgartown",436,"1",2020-07-15,1
"Egremont",15,"0",2020-07-15,0
"Erving",30,"0",2020-07-15,0
"Essex",67,"0",2020-07-15,0
"Everett",2416,"45",2020-07-15,45
"Fairhaven",279,"1",2020-07-15,1
"Fall River",1297,"81",2020-07-15,81
"Falmouth",871,"6",2020-07-15,6
"Fitchburg",756,"12",2020-07-15,12
"Florida",3,"0",2020-07-15,0
"Foxborough",507,"2",2020-07-15,2
"Framingham",1074,"20",2020-07-15,20
"Franklin",533,"2",2020-07-15,2
"Freetown",89,"7",2020-07-15,7
"Gardner",530,"2",2020-07-15,2
"Georgetown",158,"2",2020-07-15,2
"Gill",23,"0",2020-07-15,0
"Gloucester",644,"3",2020-07-15,3
"Goshen",6,"0",2020-07-15,0
"Gosnold",0,"0",2020-07-15,0
"Grafton",298,"5",2020-07-15,5
"Granby",108,"2",2020-07-15,2
"Granville",28,"1",2020-07-15,1
"Great Barrington",169,"0",2020-07-15,0
"Greenfield",436,"4",2020-07-15,4
"Groton",144,"1",2020-07-15,1
"Groveland",111,"7",2020-07-15,7
"Hadley",190,"0",2020-07-15,0
"Halifax",96,"2",2020-07-15,2
"Hamilton",163,"2",2020-07-15,2
"Hampden",86,"0",2020-07-15,0
"Hancock",6,"0",2020-07-15,0
"Hanover",236,"0",2020-07-15,0
"Hanson",153,"0",2020-07-15,0
"Hardwick",36,"0",2020-07-15,0
"Harvard",108,"1",2020-07-15,1
"Harwich",268,"5",2020-07-15,5
"Hatfield",78,"1",2020-07-15,1
"Haverhill",1167,"16",2020-07-15,16
"Hawley",5,"0",2020-07-15,0
"Heath",6,"0",2020-07-15,0
"Hingham",401,"3",2020-07-15,3
"Hinsdale",55,"0",2020-07-15,0
"Holbrook",193,"7",2020-07-15,7
"Holden",379,"4",2020-07-15,4
"Holland",50,"0",2020-07-15,0
"Holliston",230,"0",2020-07-15,0
"Holyoke",1233,"32",2020-07-15,32
"Hopedale",99,"1",2020-07-15,1
"Hopkinton",311,"4",2020-07-15,4
"Hubbardston",67,"1",2020-07-15,1
"Hudson",335,"6",2020-07-15,6
"Hull",193,"3",2020-07-15,3
