"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1089,"29",2020-10-14,29
"Acton",1655,"10",2020-10-14,10
"Acushnet",554,"20",2020-10-14,20
"Adams",484,"<5",2020-10-14,2
"Agawam",1978,"8",2020-10-14,8
"Alford",8,"0",2020-10-14,0
"Amesbury",1056,"15",2020-10-14,15
"Amherst",25415,"89",2020-10-14,89
"Andover",4114,"23",2020-10-14,23
"Aquinnah",26,"<5",2020-10-14,2
"Arlington",4708,"9",2020-10-14,9
"Ashburnham",418,"0",2020-10-14,0
"Ashby",140,"0",2020-10-14,0
"Ashfield",118,"<5",2020-10-14,2
"Ashland",1485,"18",2020-10-14,18
"Athol",805,"5",2020-10-14,5
"Attleboro",3164,"82",2020-10-14,82
"Auburn",1390,"20",2020-10-14,20
"Avon",293,"<5",2020-10-14,2
"Ayer",625,"5",2020-10-14,5
"Barnstable",2203,"28",2020-10-14,28
"Barre",316,"<5",2020-10-14,2
"Becket",76,"<5",2020-10-14,2
"Bedford",1195,"7",2020-10-14,7
"Belchertown",1542,"8",2020-10-14,8
"Bellingham",883,"6",2020-10-14,6
"Belmont",3091,"7",2020-10-14,7
"Berkley",397,"9",2020-10-14,9
"Berlin",220,"<5",2020-10-14,2
"Bernardston",160,"<5",2020-10-14,2
"Beverly",7498,"19",2020-10-14,19
"Billerica",2944,"41",2020-10-14,41
"Blackstone",523,"5",2020-10-14,5
"Blandford",53,"0",2020-10-14,0
"Bolton",464,"<5",2020-10-14,2
"Boston",172584,"1081",2020-10-14,1081
"Bourne",1536,"16",2020-10-14,16
"Boxborough",389,"<5",2020-10-14,2
"Boxford",579,"5",2020-10-14,5
"Boylston",362,"<5",2020-10-14,2
"Braintree",3321,"37",2020-10-14,37
"Brewster",567,"5",2020-10-14,5
"Bridgewater",2865,"16",2020-10-14,16
"Brimfield",209,"<5",2020-10-14,2
"Brockton",7923,"164",2020-10-14,164
"Brookfield",174,"<5",2020-10-14,2
"Brookline",9415,"24",2020-10-14,24
"Buckland",14,"0",2020-10-14,0
"Burlington",2081,"23",2020-10-14,23
"Cambridge",44880,"52",2020-10-14,52
"Canton",2236,"32",2020-10-14,32
"Carlisle",351,"<5",2020-10-14,2
"Carver",577,"10",2020-10-14,10
"Charlemont",71,"0",2020-10-14,0
"Charlton",897,"9",2020-10-14,9
"Chatham",375,"0",2020-10-14,0
"Chelmsford",3019,"58",2020-10-14,58
"Chelsea",5464,"163",2020-10-14,163
"Cheshire",168,"0",2020-10-14,0
"Chester",72,"0",2020-10-14,0
"Chesterfield",71,"<5",2020-10-14,2
"Chicopee",3837,"45",2020-10-14,45
"Chilmark",146,"0",2020-10-14,0
"Clarksburg",76,"0",2020-10-14,0
"Clinton",867,"15",2020-10-14,15
"Cohasset",460,"<5",2020-10-14,2
"Colrain",120,"<5",2020-10-14,2
"Concord",1866,"8",2020-10-14,8
"Conway",114,"0",2020-10-14,0
"Cummington",84,"0",2020-10-14,0
"Dalton",300,"<5",2020-10-14,2
"Danvers",2332,"15",2020-10-14,15
"Dartmouth",2942,"50",2020-10-14,50
"Dedham",2281,"16",2020-10-14,16
"Deerfield",2287,"0",2020-10-14,0
"Dennis",618,"7",2020-10-14,7
"Dighton",458,"<5",2020-10-14,2
"Douglas",531,"5",2020-10-14,5
"Dover",564,"<5",2020-10-14,2
"Dracut",2328,"25",2020-10-14,25
"Dudley",3398,"12",2020-10-14,12
"Dunstable",180,"0",2020-10-14,0
"Duxbury",1343,"14",2020-10-14,14
"East Bridgewater",766,"22",2020-10-14,22
"East Brookfield",109,"<5",2020-10-14,2
"East Longmeadow",1263,"25",2020-10-14,25
"Eastham",194,"<5",2020-10-14,2
"Easthampton",2811,"9",2020-10-14,9
"Easton",5650,"13",2020-10-14,13
"Edgartown",435,"<5",2020-10-14,2
