"town","tests_total","tests_pos","dt","tests_posn"
"Abington",349,"6",2020-08-05,6
"Acton",667,"4",2020-08-05,4
"Acushnet",212,"4",2020-08-05,4
"Adams",208,"0",2020-08-05,0
"Agawam",1034,"25",2020-08-05,25
"Alford",4,"0",2020-08-05,0
"Amesbury",492,"3",2020-08-05,3
"Amherst",729,"11",2020-08-05,11
"Andover",1240,"11",2020-08-05,11
"Aquinnah",20,"0",2020-08-05,0
"Arlington",1387,"7",2020-08-05,7
"Ashburnham",147,"1",2020-08-05,1
"Ashby",61,"0",2020-08-05,0
"Ashfield",32,"0",2020-08-05,0
"Ashland",630,"19",2020-08-05,19
"Athol",393,"1",2020-08-05,1
"Attleboro",713,"21",2020-08-05,21
"Auburn",417,"10",2020-08-05,10
"Avon",119,"2",2020-08-05,2
"Ayer",319,"4",2020-08-05,4
"Barnstable",1142,"15",2020-08-05,15
"Barre",136,"0",2020-08-05,0
"Becket",39,"0",2020-08-05,0
"Bedford",670,"8",2020-08-05,8
"Belchertown",453,"12",2020-08-05,12
"Bellingham",423,"1",2020-08-05,1
"Belmont",802,"8",2020-08-05,8
"Berkley",143,"5",2020-08-05,5
"Berlin",98,"0",2020-08-05,0
"Bernardston",61,"0",2020-08-05,0
"Beverly",1116,"15",2020-08-05,15
"Billerica",1204,"14",2020-08-05,14
"Blackstone",192,"5",2020-08-05,5
"Blandford",17,"0",2020-08-05,0
"Bolton",166,"1",2020-08-05,1
"Boston",24898,"538",2020-08-05,538
"Bourne",573,"1",2020-08-05,1
"Boxborough",165,"2",2020-08-05,2
"Boxford",252,"3",2020-08-05,3
"Boylston",124,"1",2020-08-05,1
"Braintree",872,"7",2020-08-05,7
"Brewster",369,"5",2020-08-05,5
"Bridgewater",581,"4",2020-08-05,4
"Brimfield",89,"1",2020-08-05,1
"Brockton",2540,"130",2020-08-05,130
"Brookfield",117,"3",2020-08-05,3
"Brookline",2003,"17",2020-08-05,17
"Buckland",3,"0",2020-08-05,0
"Burlington",641,"7",2020-08-05,7
"Cambridge",5500,"44",2020-08-05,44
"Canton",821,"15",2020-08-05,15
"Carlisle",158,"1",2020-08-05,1
"Carver",231,"5",2020-08-05,5
"Charlemont",27,"2",2020-08-05,2
"Charlton",556,"10",2020-08-05,10
"Chatham",144,"0",2020-08-05,0
"Chelmsford",1193,"11",2020-08-05,11
"Chelsea",2274,"112",2020-08-05,112
"Cheshire",111,"0",2020-08-05,0
"Chester",23,"0",2020-08-05,0
"Chesterfield",24,"0",2020-08-05,0
"Chicopee",1519,"58",2020-08-05,58
"Chilmark",155,"0",2020-08-05,0
"Clarksburg",41,"0",2020-08-05,0
"Clinton",479,"5",2020-08-05,5
"Cohasset",139,"1",2020-08-05,1
"Colrain",41,"0",2020-08-05,0
"Concord",644,"3",2020-08-05,3
"Conway",54,"0",2020-08-05,0
"Cummington",16,"0",2020-08-05,0
"Dalton",196,"2",2020-08-05,2
"Danvers",930,"13",2020-08-05,13
"Dartmouth",700,"12",2020-08-05,12
"Dedham",753,"6",2020-08-05,6
"Deerfield",191,"1",2020-08-05,1
"Dennis",298,"4",2020-08-05,4
"Dighton",137,"0",2020-08-05,0
"Douglas",189,"0",2020-08-05,0
"Dover",198,"0",2020-08-05,0
"Dracut",1114,"10",2020-08-05,10
"Dudley",336,"4",2020-08-05,4
"Dunstable",58,"0",2020-08-05,0
"Duxbury",356,"2",2020-08-05,2
"East Bridgewater",282,"7",2020-08-05,7
"East Brookfield",46,"0",2020-08-05,0
"East Longmeadow",423,"4",2020-08-05,4
"Eastham",112,"1",2020-08-05,1
"Easthampton",544,"11",2020-08-05,11
"Easton",630,"7",2020-08-05,7
"Edgartown",363,"0",2020-08-05,0
"Egremont",27,"2",2020-08-05,2
"Erving",49,"0",2020-08-05,0
"Essex",83,"0",2020-08-05,0
"Everett",1701,"82",2020-08-05,82
"Fairhaven",348,"2",2020-08-05,2
"Fall River",3157,"112",2020-08-05,112
"Falmouth",1135,"13",2020-08-05,13
"Fitchburg",1018,"14",2020-08-05,14
"Florida",14,"0",2020-08-05,0
"Foxborough",1075,"3",2020-08-05,3
"Framingham",2012,"56",2020-08-05,56
"Franklin",845,"11",2020-08-05,11
"Freetown",162,"4",2020-08-05,4
"Gardner",613,"3",2020-08-05,3
"Georgetown",203,"7",2020-08-05,7
"Gill",39,"0",2020-08-05,0
"Gloucester",839,"9",2020-08-05,9
"Goshen",20,"0",2020-08-05,0
"Gosnold",79,"0",2020-08-05,0
"Grafton",483,"5",2020-08-05,5
"Granby",206,"7",2020-08-05,7
"Granville",35,"0",2020-08-05,0
"Great Barrington",278,"1",2020-08-05,1
"Greenfield",620,"6",2020-08-05,6
"Groton",305,"1",2020-08-05,1
"Groveland",144,"0",2020-08-05,0
"Hadley",391,"0",2020-08-05,0
"Halifax",136,"0",2020-08-05,0
"Hamilton",246,"4",2020-08-05,4
"Hampden",104,"0",2020-08-05,0
"Hancock",6,"1",2020-08-05,1
"Hanover",248,"4",2020-08-05,4
"Hanson",185,"0",2020-08-05,0
"Hardwick",51,"1",2020-08-05,1
"Harvard",156,"0",2020-08-05,0
"Harwich",454,"3",2020-08-05,3
"Hatfield",100,"1",2020-08-05,1
"Haverhill",1873,"21",2020-08-05,21
"Hawley",6,"0",2020-08-05,0
"Heath",7,"0",2020-08-05,0
"Hingham",631,"14",2020-08-05,14
"Hinsdale",69,"1",2020-08-05,1
"Holbrook",253,"3",2020-08-05,3
"Holden",597,"0",2020-08-05,0
"Holland",75,"3",2020-08-05,3
"Holliston",386,"6",2020-08-05,6
"Holyoke",2299,"53",2020-08-05,53
"Hopedale",186,"1",2020-08-05,1
"Hopkinton",465,"3",2020-08-05,3
"Hubbardston",107,"1",2020-08-05,1
"Hudson",616,"1",2020-08-05,1
"Hull",226,"6",2020-08-05,6
"Huntington",69,"0",2020-08-05,0
"Ipswich",400,"6",2020-08-05,6
"Kingston",319,"7",2020-08-05,7
"Lakeville",251,"0",2020-08-05,0
"Lancaster",242,"3",2020-08-05,3
"Lanesborough",71,"0",2020-08-05,0
"Lawrence",3414,"119",2020-08-05,119
"Lee",188,"2",2020-08-05,2
"Leicester",259,"5",2020-08-05,5
"Lenox",214,"5",2020-08-05,5
"Leominster",1131,"21",2020-08-05,21
"Leverett",66,"0",2020-08-05,0
"Lexington",805,"7",2020-08-05,7
"Leyden",6,"0",2020-08-05,0
"Lincoln",204,"3",2020-08-05,3
"Littleton",311,"2",2020-08-05,2
"Longmeadow",551,"13",2020-08-05,13
"Lowell",4418,"50",2020-08-05,50
"Ludlow",531,"4",2020-08-05,4
"Lunenburg",294,"2",2020-08-05,2
"Lynn",4543,"278",2020-08-05,278
"Lynnfield",404,"4",2020-08-05,4
"Malden",1834,"60",2020-08-05,60
"Manchester",157,"0",2020-08-05,0
"Mansfield",504,"10",2020-08-05,10
"Marblehead",699,"10",2020-08-05,10
"Marion",352,"2",2020-08-05,2
"Marlborough",1687,"31",2020-08-05,31
"Marshfield",509,"0",2020-08-05,0
"Mashpee",464,"6",2020-08-05,6
"Mattapoisett",145,"1",2020-08-05,1
"Maynard",322,"7",2020-08-05,7
"Medfield",309,"1",2020-08-05,1
"Medford",2131,"27",2020-08-05,27
"Medway",382,"1",2020-08-05,1
"Melrose",1030,"16",2020-08-05,16
"Mendon",147,"1",2020-08-05,1
"Merrimac",142,"1",2020-08-05,1
"Methuen",1542,"31",2020-08-05,31
"Middleborough",644,"7",2020-08-05,7
"Middlefield",2,"0",2020-08-05,0
"Middleton",241,"7",2020-08-05,7
"Milford",853,"17",2020-08-05,17
"Millbury",347,"9",2020-08-05,9
"Millis",202,"3",2020-08-05,3
"Millville",65,"2",2020-08-05,2
"Milton",814,"11",2020-08-05,11
"Monroe",0,"0",2020-08-05,0
"Monson",226,"1",2020-08-05,1
"Montague",233,"0",2020-08-05,0
"Monterey",28,"0",2020-08-05,0
"Montgomery",12,"0",2020-08-05,0
"Mount Washington",1,"0",2020-08-05,0
"Nahant",143,"4",2020-08-05,4
"Nantucket",453,"3",2020-08-05,3
"Natick",997,"8",2020-08-05,8
"Needham",1102,"21",2020-08-05,21
"New Ashford",1,"0",2020-08-05,0
"New Bedford",2722,"60",2020-08-05,60
"New Braintree",19,"1",2020-08-05,1
"New Marlborough",21,"1",2020-08-05,1
"New Salem",32,"2",2020-08-05,2
"Newbury",183,"1",2020-08-05,1
"Newburyport",669,"2",2020-08-05,2
"Newton",3169,"27",2020-08-05,27
"Norfolk",309,"6",2020-08-05,6
"North Adams",335,"2",2020-08-05,2
"North Andover",1141,"7",2020-08-05,7
"North Attleborough",568,"10",2020-08-05,10
"North Brookfield",150,"4",2020-08-05,4
"North Reading",502,"4",2020-08-05,4
"Northampton",1413,"25",2020-08-05,25
"Northborough",542,"2",2020-08-05,2
"Northbridge",443,"5",2020-08-05,5
"Northfield",78,"0",2020-08-05,0
"Norton",343,"3",2020-08-05,3
"Norwell",220,"2",2020-08-05,2
"Norwood",777,"13",2020-08-05,13
"Oak Bluffs",221,"0",2020-08-05,0
"Oakham",69,"1",2020-08-05,1
"Orange",252,"2",2020-08-05,2
"Orleans",127,"1",2020-08-05,1
"Otis",42,"0",2020-08-05,0
"Oxford",318,"2",2020-08-05,2
"Palmer",318,"4",2020-08-05,4
"Paxton",115,"2",2020-08-05,2
"Peabody",2060,"51",2020-08-05,51
"Pelham",28,"0",2020-08-05,0
"Pembroke",320,"6",2020-08-05,6
"Pepperell",266,"5",2020-08-05,5
"Peru",17,"0",2020-08-05,0
"Petersham",26,"0",2020-08-05,0
"Phillipston",33,"0",2020-08-05,0
"Pittsfield",1361,"18",2020-08-05,18
"Plainfield",26,"0",2020-08-05,0
"Plainville",203,"6",2020-08-05,6
"Plymouth",1494,"12",2020-08-05,12
"Plympton",58,"0",2020-08-05,0
"Princeton",108,"0",2020-08-05,0
"Provincetown",192,"1",2020-08-05,1
"Quincy",2617,"85",2020-08-05,85
"Randolph",1015,"33",2020-08-05,33
"Raynham",347,"6",2020-08-05,6
"Reading",701,"5",2020-08-05,5
"Rehoboth",182,"4",2020-08-05,4
"Revere",2562,"155",2020-08-05,155
"Richmond",44,"0",2020-08-05,0
"Rochester",78,"0",2020-08-05,0
"Rockland",359,"5",2020-08-05,5
"Rockport",197,"1",2020-08-05,1
"Rowe",9,"0",2020-08-05,0
"Rowley",197,"3",2020-08-05,3
"Royalston",31,"0",2020-08-05,0
"Russell",42,"4",2020-08-05,4
"Rutland",259,"0",2020-08-05,0
"Salem",1573,"38",2020-08-05,38
"Salisbury",196,"1",2020-08-05,1
"Sandisfield",61,"1",2020-08-05,1
"Sandwich",480,"1",2020-08-05,1
"Saugus",983,"43",2020-08-05,43
"Savoy",13,"0",2020-08-05,0
"Scituate",355,"4",2020-08-05,4
"Seekonk",196,"5",2020-08-05,5
"Sharon",552,"9",2020-08-05,9
"Sheffield",96,"1",2020-08-05,1
"Shelburne",117,"0",2020-08-05,0
"Sherborn",152,"1",2020-08-05,1
"Shirley",174,"1",2020-08-05,1
"Shrewsbury",1218,"15",2020-08-05,15
"Shutesbury",71,"0",2020-08-05,0
"Somerset",446,"5",2020-08-05,5
"Somerville",3877,"44",2020-08-05,44
"South Hadley",491,"10",2020-08-05,10
"Southampton",169,"1",2020-08-05,1
"Southborough",288,"1",2020-08-05,1
"Southbridge",705,"10",2020-08-05,10
"Southwick",242,"1",2020-08-05,1
"Spencer",374,"8",2020-08-05,8
"Springfield",4304,"118",2020-08-05,118
"Sterling",391,"0",2020-08-05,0
"Stockbridge",59,"0",2020-08-05,0
"Stoneham",704,"14",2020-08-05,14
"Stoughton",752,"8",2020-08-05,8
"Stow",224,"2",2020-08-05,2
"Sturbridge",269,"4",2020-08-05,4
"Sudbury",620,"7",2020-08-05,7
"Sunderland",96,"1",2020-08-05,1
"Sutton",223,"3",2020-08-05,3
"Swampscott",448,"9",2020-08-05,9
"Swansea",379,"4",2020-08-05,4
"Taunton",1964,"55",2020-08-05,55
"Templeton",259,"0",2020-08-05,0
"Tewksbury",1526,"10",2020-08-05,10
"Tisbury",478,"1",2020-08-05,1
"Tolland",5,"0",2020-08-05,0
"Topsfield",371,"4",2020-08-05,4
"Townsend",192,"1",2020-08-05,1
"Truro",49,"1",2020-08-05,1
"Tyngsborough",334,"4",2020-08-05,4
"Tyringham",10,"0",2020-08-05,0
"Upton",189,"1",2020-08-05,1
"Uxbridge",408,"3",2020-08-05,3
"Wakefield",938,"9",2020-08-05,9
"Wales",50,"1",2020-08-05,1
"Walpole",626,"2",2020-08-05,2
"Waltham",1912,"17",2020-08-05,17
"Ware",307,"3",2020-08-05,3
"Wareham",376,"4",2020-08-05,4
"Warren",130,"1",2020-08-05,1
"Warwick",24,"0",2020-08-05,0
"Washington",9,"0",2020-08-05,0
"Watertown",1062,"10",2020-08-05,10
"Wayland",376,"4",2020-08-05,4
"Webster",731,"6",2020-08-05,6
"Wellesley",931,"7",2020-08-05,7
"Wellfleet",86,"0",2020-08-05,0
"Wendell",38,"0",2020-08-05,0
"Wenham",117,"2",2020-08-05,2
"West Boylston",220,"5",2020-08-05,5
"West Bridgewater",261,"1",2020-08-05,1
"West Brookfield",185,"0",2020-08-05,0
