"town","tests_total","tests_pos","dt","tests_posn"
"Abington",1317,"69",2020-11-19,69
"Acton",1857,"37",2020-11-19,37
"Acushnet",983,"50",2020-11-19,50
"Adams",670,"6",2020-11-19,6
"Agawam",3192,"130",2020-11-19,130
"Alford",14,"0",2020-11-19,0
"Amesbury",1446,"46",2020-11-19,46
"Amherst",24967,"129",2020-11-19,129
"Andover",6665,"208",2020-11-19,208
"Aquinnah",36,"0",2020-11-19,0
"Arlington",5807,"81",2020-11-19,81
"Ashburnham",754,"18",2020-11-19,18
"Ashby",250,"16",2020-11-19,16
"Ashfield",120,"0",2020-11-19,0
"Ashland",2235,"98",2020-11-19,98
"Athol",1051,"21",2020-11-19,21
"Attleboro",3936,"251",2020-11-19,251
"Auburn",2060,"78",2020-11-19,78
"Avon",415,"21",2020-11-19,21
"Ayer",821,"11",2020-11-19,11
"Barnstable",2885,"156",2020-11-19,156
"Barre",379,"9",2020-11-19,9
"Becket",155,"2",2020-11-19,2
"Bedford",1384,"16",2020-11-19,16
"Belchertown",2051,"35",2020-11-19,35
"Bellingham",1357,"59",2020-11-19,59
"Belmont",3515,"43",2020-11-19,43
"Berkley",653,"30",2020-11-19,30
"Berlin",350,"10",2020-11-19,10
"Bernardston",203,"4",2020-11-19,4
"Beverly",9874,"166",2020-11-19,166
"Billerica",3987,"161",2020-11-19,161
"Blackstone",782,"33",2020-11-19,33
"Blandford",78,"2",2020-11-19,2
"Bolton",559,"21",2020-11-19,21
"Boston",205995,"3476",2020-11-19,3476
"Bourne",1863,"38",2020-11-19,38
"Boxborough",411,"9",2020-11-19,9
"Boxford",844,"18",2020-11-19,18
"Boylston",502,"14",2020-11-19,14
"Braintree",4584,"122",2020-11-19,122
"Brewster",541,"3",2020-11-19,3
"Bridgewater",3719,"60",2020-11-19,60
"Brimfield",261,"12",2020-11-19,12
"Brockton",9363,"527",2020-11-19,527
"Brookfield",256,"11",2020-11-19,11
"Brookline",11936,"112",2020-11-19,112
"Buckland",9,"0",2020-11-19,0
"Burlington",2390,"85",2020-11-19,85
"Cambridge",50947,"295",2020-11-19,295
"Canton",2604,"35",2020-11-19,35
"Carlisle",412,"3",2020-11-19,3
"Carver",637,"26",2020-11-19,26
"Charlemont",104,"0",2020-11-19,0
"Charlton",1383,"42",2020-11-19,42
"Chatham",323,"7",2020-11-19,7
"Chelmsford",3344,"140",2020-11-19,140
"Chelsea",5902,"426",2020-11-19,426
"Cheshire",268,"6",2020-11-19,6
"Chester",76,"0",2020-11-19,0
"Chesterfield",72,"0",2020-11-19,0
"Chicopee",6112,"358",2020-11-19,358
"Chilmark",205,"3",2020-11-19,3
"Clarksburg",77,"5",2020-11-19,5
"Clinton",1225,"88",2020-11-19,88
"Cohasset",822,"13",2020-11-19,13
"Colrain",123,"0",2020-11-19,0
"Concord",2962,"95",2020-11-19,95
"Conway",141,"0",2020-11-19,0
"Cummington",85,"1",2020-11-19,1
"Dalton",713,"19",2020-11-19,19
"Danvers",3415,"112",2020-11-19,112
"Dartmouth",4235,"253",2020-11-19,253
"Dedham",3132,"60",2020-11-19,60
"Deerfield",2639,"8",2020-11-19,8
"Dennis",805,"9",2020-11-19,9
"Dighton",703,"53",2020-11-19,53
"Douglas",751,"47",2020-11-19,47
"Dover",616,"8",2020-11-19,8
"Dracut",3045,"162",2020-11-19,162
"Dudley",3518,"59",2020-11-19,59
"Dunstable",281,"15",2020-11-19,15
"Duxbury",1194,"24",2020-11-19,24
"East Bridgewater",959,"24",2020-11-19,24
"East Brookfield",156,"3",2020-11-19,3
"East Longmeadow",2267,"89",2020-11-19,89
"Eastham",173,"4",2020-11-19,4
"Easthampton",3369,"43",2020-11-19,43
"Easton",6344,"68",2020-11-19,68
"Edgartown",683,"32",2020-11-19,32
"Egremont",84,"1",2020-11-19,1
"Erving",155,"3",2020-11-19,3
"Essex",239,"2",2020-11-19,2
"Everett",6368,"531",2020-11-19,531
"Fairhaven",2198,"125",2020-11-19,125
"Fall River",11807,"1285",2020-11-19,1285
"Falmouth",2465,"34",2020-11-19,34
"Fitchburg",4828,"373",2020-11-19,373
"Florida",34,"0",2020-11-19,0
"Foxborough",2600,"63",2020-11-19,63
"Framingham",9328,"407",2020-11-19,407
"Franklin",2791,"116",2020-11-19,116
"Freetown",771,"49",2020-11-19,49
"Gardner",1759,"78",2020-11-19,78
"Georgetown",803,"26",2020-11-19,26
"Gill",413,"1",2020-11-19,1
"Gloucester",1777,"44",2020-11-19,44
"Goshen",45,"2",2020-11-19,2
"Gosnold",1,"0",2020-11-19,0
"Grafton",2284,"62",2020-11-19,62
"Granby",698,"12",2020-11-19,12
"Granville",133,"8",2020-11-19,8
"Great Barrington",1793,"4",2020-11-19,4
"Greenfield",1590,"15",2020-11-19,15
"Groton",1525,"18",2020-11-19,18
"Groveland",571,"17",2020-11-19,17
"Hadley",1470,"8",2020-11-19,8
"Halifax",489,"14",2020-11-19,14
"Hamilton",658,"11",2020-11-19,11
"Hampden",631,"33",2020-11-19,33
"Hancock",12,"1",2020-11-19,1
"Hanover",1068,"35",2020-11-19,35
"Hanson",730,"32",2020-11-19,32
"Hardwick",181,"3",2020-11-19,3
"Harvard",465,"7",2020-11-19,7
"Harwich",737,"11",2020-11-19,11
"Hatfield",393,"19",2020-11-19,19
"Haverhill",7534,"296",2020-11-19,296
"Hawley",5,"0",2020-11-19,0
"Heath",41,"0",2020-11-19,0
"Hingham",2115,"43",2020-11-19,43
"Hinsdale",176,"2",2020-11-19,2
"Holbrook",971,"27",2020-11-19,27
"Holden",2209,"75",2020-11-19,75
"Holland",157,"2",2020-11-19,2
"Holliston",1387,"33",2020-11-19,33
"Holyoke",5745,"366",2020-11-19,366
"Hopedale",597,"24",2020-11-19,24
"Hopkinton",1636,"26",2020-11-19,26
"Hubbardston",368,"8",2020-11-19,8
"Hudson",1940,"75",2020-11-19,75
"Hull",705,"26",2020-11-19,26
"Huntington",188,"8",2020-11-19,8
"Ipswich",1143,"41",2020-11-19,41
"Kingston",1314,"26",2020-11-19,26
"Lakeville",947,"31",2020-11-19,31
"Lancaster",648,"35",2020-11-19,35
"Lanesborough",289,"8",2020-11-19,8
"Lawrence",13003,"1692",2020-11-19,1692
"Lee",597,"24",2020-11-19,24
"Leicester",1140,"43",2020-11-19,43
"Lenox",629,"16",2020-11-19,16
"Leominster",5015,"389",2020-11-19,389
"Leverett",331,"1",2020-11-19,1
"Lexington",3107,"27",2020-11-19,27
"Leyden",14,"0",2020-11-19,0
"Lincoln",631,"6",2020-11-19,6
"Littleton",817,"17",2020-11-19,17
"Longmeadow",2389,"56",2020-11-19,56
"Lowell",13408,"1186",2020-11-19,1186
"Ludlow",2474,"126",2020-11-19,126
"Lunenburg",1073,"71",2020-11-19,71
"Lynn",11253,"1028",2020-11-19,1028
"Lynnfield",1536,"55",2020-11-19,55
"Malden",7994,"366",2020-11-19,366
"Manchester",507,"8",2020-11-19,8
"Mansfield",2241,"47",2020-11-19,47
"Marblehead",2001,"51",2020-11-19,51
"Marion",2019,"58",2020-11-19,58
"Marlborough",4350,"169",2020-11-19,169
"Marshfield",1783,"59",2020-11-19,59
"Mashpee",1022,"17",2020-11-19,17
"Mattapoisett",549,"24",2020-11-19,24
"Maynard",1000,"30",2020-11-19,30
"Medfield",1369,"35",2020-11-19,35
"Medford",16428,"211",2020-11-19,211
"Medway",1211,"25",2020-11-19,25
"Melrose",3841,"114",2020-11-19,114
"Mendon",521,"22",2020-11-19,22
"Merrimac",557,"22",2020-11-19,22
"Methuen",6625,"466",2020-11-19,466
"Middleborough",2001,"62",2020-11-19,62
"Middlefield",24,"0",2020-11-19,0
"Middleton",947,"27",2020-11-19,27
"Milford",2542,"174",2020-11-19,174
"Millbury",1307,"53",2020-11-19,53
"Millis",699,"19",2020-11-19,19
"Millville",250,"10",2020-11-19,10
"Milton",5483,"83",2020-11-19,83
"Monroe",4,"0",2020-11-19,0
"Monson",796,"26",2020-11-19,26
"Montague",621,"9",2020-11-19,9
"Monterey",66,"0",2020-11-19,0
"Montgomery",22,"1",2020-11-19,1
"Mount Washington",4,"0",2020-11-19,0
"Nahant",464,"18",2020-11-19,18
"Nantucket",1491,"79",2020-11-19,79
"Natick",4294,"60",2020-11-19,60
"Needham",4238,"37",2020-11-19,37
"New Ashford",6,"0",2020-11-19,0
"New Bedford",8811,"644",2020-11-19,644
"New Braintree",52,"2",2020-11-19,2
"New Marlborough",77,"0",2020-11-19,0
"New Salem",68,"2",2020-11-19,2
"Newbury",883,"21",2020-11-19,21
"Newburyport",2307,"79",2020-11-19,79
"Newton",26065,"130",2020-11-19,130
"Norfolk",2077,"208",2020-11-19,208
"North Adams",1405,"12",2020-11-19,12
"North Andover",10529,"137",2020-11-19,137
"North Attleborough",2390,"81",2020-11-19,81
"North Brookfield",306,"8",2020-11-19,8
"North Reading",2241,"62",2020-11-19,62
"Northampton",5002,"50",2020-11-19,50
"Northborough",1895,"55",2020-11-19,55
"Northbridge",2054,"110",2020-11-19,110
"Northfield",273,"1",2020-11-19,1
"Norton",5533,"71",2020-11-19,71
"Norwell",1108,"18",2020-11-19,18
"Norwood",3530,"114",2020-11-19,114
"Oak Bluffs",459,"19",2020-11-19,19
"Oakham",135,"2",2020-11-19,2
"Orange",641,"8",2020-11-19,8
"Orleans",232,"1",2020-11-19,1
"Otis",89,"3",2020-11-19,3
"Oxford",1099,"50",2020-11-19,50
