"town","tests_total","tests_pos","dt","tests_posn"
"Abington",756,"9",2020-09-23,9
"Acton",1332,"<5",2020-09-23,2
"Acushnet",405,"<5",2020-09-23,2
"Adams",449,"<5",2020-09-23,2
"Agawam",1653,"13",2020-09-23,13
"Alford",13,"0",2020-09-23,0
"Amesbury",789,"<5",2020-09-23,2
"Amherst",21102,"<5",2020-09-23,2
"Andover",3033,"15",2020-09-23,15
"Aquinnah",15,"0",2020-09-23,0
"Arlington",3658,"12",2020-09-23,12
"Ashburnham",388,"0",2020-09-23,0
"Ashby",125,"0",2020-09-23,0
"Ashfield",95,"0",2020-09-23,0
"Ashland",1140,"16",2020-09-23,16
"Athol",536,"<5",2020-09-23,2
"Attleboro",2091,"49",2020-09-23,49
"Auburn",1007,"11",2020-09-23,11
"Avon",222,"<5",2020-09-23,2
"Ayer",521,"<5",2020-09-23,2
"Barnstable",1616,"8",2020-09-23,8
"Barre",261,"0",2020-09-23,0
"Becket",66,"0",2020-09-23,0
"Bedford",1080,"7",2020-09-23,7
"Belchertown",1294,"<5",2020-09-23,2
"Bellingham",673,"6",2020-09-23,6
"Belmont",2465,"8",2020-09-23,8
"Berkley",314,"5",2020-09-23,5
"Berlin",198,"<5",2020-09-23,2
"Bernardston",163,"0",2020-09-23,0
"Beverly",7000,"11",2020-09-23,11
"Billerica",2135,"26",2020-09-23,26
"Blackstone",356,"<5",2020-09-23,2
"Blandford",35,"0",2020-09-23,0
"Bolton",326,"<5",2020-09-23,2
"Boston",152051,"773",2020-09-23,773
"Bourne",1234,"5",2020-09-23,5
"Boxborough",251,"0",2020-09-23,0
"Boxford",464,"<5",2020-09-23,2
"Boylston",304,"<5",2020-09-23,2
"Braintree",2457,"33",2020-09-23,33
"Brewster",332,"<5",2020-09-23,2
"Bridgewater",2463,"16",2020-09-23,16
"Brimfield",194,"<5",2020-09-23,2
"Brockton",5324,"92",2020-09-23,92
"Brookfield",153,"0",2020-09-23,0
"Brookline",7425,"15",2020-09-23,15
"Buckland",12,"0",2020-09-23,0
"Burlington",1457,"<5",2020-09-23,2
"Cambridge",34763,"38",2020-09-23,38
"Canton",1581,"15",2020-09-23,15
"Carlisle",265,"<5",2020-09-23,2
"Carver",440,"<5",2020-09-23,2
"Charlemont",76,"<5",2020-09-23,2
"Charlton",938,"<5",2020-09-23,2
"Chatham",198,"<5",2020-09-23,2
"Chelmsford",1735,"27",2020-09-23,27
"Chelsea",3858,"118",2020-09-23,118
"Cheshire",144,"0",2020-09-23,0
"Chester",47,"<5",2020-09-23,2
"Chesterfield",59,"0",2020-09-23,0
"Chicopee",2960,"19",2020-09-23,19
"Chilmark",126,"<5",2020-09-23,2
"Clarksburg",60,"0",2020-09-23,0
"Clinton",711,"13",2020-09-23,13
"Cohasset",429,"0",2020-09-23,0
"Colrain",93,"<5",2020-09-23,2
"Concord",1572,"<5",2020-09-23,2
