"town","tests_total","tests_pos","dt","tests_posn"
"Abington",250,"4",2020-07-22,4
"Acton",411,"6",2020-07-22,6
"Acushnet",132,"8",2020-07-22,8
"Adams",207,"0",2020-07-22,0
"Agawam",780,"16",2020-07-22,16
"Alford",4,"0",2020-07-22,0
"Amesbury",399,"7",2020-07-22,7
"Amherst",585,"2",2020-07-22,2
"Andover",994,"3",2020-07-22,3
"Aquinnah",14,"0",2020-07-22,0
"Arlington",1131,"9",2020-07-22,9
"Ashburnham",150,"0",2020-07-22,0
"Ashby",57,"0",2020-07-22,0
"Ashfield",35,"1",2020-07-22,1
"Ashland",343,"3",2020-07-22,3
"Athol",357,"1",2020-07-22,1
"Attleboro",764,"13",2020-07-22,13
"Auburn",383,"2",2020-07-22,2
"Avon",81,"1",2020-07-22,1
"Ayer",221,"4",2020-07-22,4
"Barnstable",964,"14",2020-07-22,14
"Barre",134,"0",2020-07-22,0
"Becket",44,"1",2020-07-22,1
"Bedford",333,"9",2020-07-22,9
"Belchertown",369,"9",2020-07-22,9
"Bellingham",287,"7",2020-07-22,7
"Belmont",602,"3",2020-07-22,3
"Berkley",64,"1",2020-07-22,1
"Berlin",50,"1",2020-07-22,1
"Bernardston",57,"0",2020-07-22,0
"Beverly",908,"13",2020-07-22,13
"Billerica",879,"14",2020-07-22,14
"Blackstone",126,"1",2020-07-22,1
"Blandford",29,"0",2020-07-22,0
"Bolton",114,"0",2020-07-22,0
"Boston",18955,"384",2020-07-22,384
"Bourne",543,"5",2020-07-22,5
"Boxborough",80,"0",2020-07-22,0
"Boxford",199,"3",2020-07-22,3
"Boylston",119,"2",2020-07-22,2
"Braintree",891,"13",2020-07-22,13
"Brewster",216,"4",2020-07-22,4
"Bridgewater",389,"3",2020-07-22,3
"Brimfield",88,"1",2020-07-22,1
"Brockton",1794,"71",2020-07-22,71
"Brookfield",100,"1",2020-07-22,1
"Brookline",1446,"7",2020-07-22,7
"Buckland",3,"0",2020-07-22,0
"Burlington",576,"4",2020-07-22,4
"Cambridge",4111,"35",2020-07-22,35
"Canton",563,"9",2020-07-22,9
"Carlisle",101,"1",2020-07-22,1
"Carver",223,"3",2020-07-22,3
"Charlemont",35,"1",2020-07-22,1
"Charlton",309,"6",2020-07-22,6
"Chatham",146,"2",2020-07-22,2
"Chelmsford",818,"12",2020-07-22,12
"Chelsea",2173,"77",2020-07-22,77
"Cheshire",76,"0",2020-07-22,0
"Chester",22,"0",2020-07-22,0
"Chesterfield",26,"0",2020-07-22,0
"Chicopee",1277,"40",2020-07-22,40
"Chilmark",179,"0",2020-07-22,0
"Clarksburg",41,"2",2020-07-22,2
"Clinton",319,"3",2020-07-22,3
"Cohasset",128,"0",2020-07-22,0
"Colrain",47,"0",2020-07-22,0
"Concord",484,"4",2020-07-22,4
"Conway",42,"0",2020-07-22,0
"Cummington",25,"0",2020-07-22,0
"Dalton",152,"0",2020-07-22,0
"Danvers",903,"6",2020-07-22,6
"Dartmouth",638,"13",2020-07-22,13
"Dedham",645,"12",2020-07-22,12
"Deerfield",136,"0",2020-07-22,0
"Dennis",300,"2",2020-07-22,2
"Dighton",77,"1",2020-07-22,1
"Douglas",142,"1",2020-07-22,1
"Dover",132,"3",2020-07-22,3
"Dracut",789,"17",2020-07-22,17
"Dudley",275,"5",2020-07-22,5
"Dunstable",40,"0",2020-07-22,0
"Duxbury",318,"2",2020-07-22,2
"East Bridgewater",175,"3",2020-07-22,3
"East Brookfield",63,"0",2020-07-22,0
"East Longmeadow",372,"2",2020-07-22,2
"Eastham",117,"2",2020-07-22,2
"Easthampton",510,"4",2020-07-22,4
"Easton",310,"7",2020-07-22,7
"Edgartown",385,"0",2020-07-22,0
"Egremont",18,"0",2020-07-22,0
"Erving",34,"0",2020-07-22,0
"Essex",73,"0",2020-07-22,0
"Everett",2340,"52",2020-07-22,52
"Fairhaven",592,"5",2020-07-22,5
"Fall River",2142,"113",2020-07-22,113
"Falmouth",1093,"4",2020-07-22,4
"Fitchburg",921,"15",2020-07-22,15
"Florida",14,"0",2020-07-22,0
"Foxborough",594,"9",2020-07-22,9
"Framingham",1308,"36",2020-07-22,36
"Franklin",557,"4",2020-07-22,4
"Freetown",109,"6",2020-07-22,6
"Gardner",611,"4",2020-07-22,4
"Georgetown",175,"2",2020-07-22,2
"Gill",29,"0",2020-07-22,0
"Gloucester",678,"6",2020-07-22,6
"Goshen",11,"1",2020-07-22,1
"Gosnold",23,"5",2020-07-22,5
"Grafton",377,"1",2020-07-22,1
"Granby",117,"0",2020-07-22,0
"Granville",34,"0",2020-07-22,0
"Great Barrington",244,"0",2020-07-22,0
"Greenfield",492,"1",2020-07-22,1
"Groton",146,"0",2020-07-22,0
"Groveland",135,"5",2020-07-22,5
"Hadley",315,"1",2020-07-22,1
"Halifax",120,"1",2020-07-22,1
"Hamilton",163,"3",2020-07-22,3
"Hampden",88,"1",2020-07-22,1
"Hancock",5,"0",2020-07-22,0
"Hanover",217,"0",2020-07-22,0
"Hanson",180,"1",2020-07-22,1
"Hardwick",39,"0",2020-07-22,0
"Harvard",99,"1",2020-07-22,1
"Harwich",382,"9",2020-07-22,9
