"town","tests_total","tests_pos","dt","tests_posn"
"Lenox",755,"13",2020-06-24,13
"Leominster",5648,"680",2020-06-24,680
"Leverett",124,"<5",2020-06-24,2
"Lexington",2579,"321",2020-06-24,321
"Leyden",10,"0",2020-06-24,0
"Lincoln",658,"38",2020-06-24,38
"Littleton",799,"98",2020-06-24,98
"Longmeadow",1385,"214",2020-06-24,214
"Lowell",18501,"2854",2020-06-24,2854
"Ludlow",1835,"124",2020-06-24,124
"Lunenburg",977,"62",2020-06-24,62
"Lynn",14107,"3604",2020-06-24,3604
"Lynnfield",1125,"93",2020-06-24,93
"Malden",7793,"1222",2020-06-24,1222
"Manchester",290,"20",2020-06-24,20
"Mansfield",1988,"163",2020-06-24,163
"Marblehead",1975,"228",2020-06-24,228
"Marion",585,"13",2020-06-24,13
"Marlborough",5461,"984",2020-06-24,984
"Marshfield",2095,"168",2020-06-24,168
"Mashpee",1497,"63",2020-06-24,63
"Mattapoisett",511,"35",2020-06-24,35
"Maynard",967,"70",2020-06-24,70
"Medfield",848,"36",2020-06-24,36
"Medford",7225,"1020",2020-06-24,1020
"Medway",987,"118",2020-06-24,118
"Melrose",2731,"242",2020-06-24,242
"Mendon",408,"30",2020-06-24,30
"Merrimac",544,"36",2020-06-24,36
"Methuen",6519,"1004",2020-06-24,1004
"Middleborough",2654,"264",2020-06-24,264
"Middlefield",12,"0",2020-06-24,0
"Middleton",1022,"163",2020-06-24,163
"Milford",3480,"641",2020-06-24,641
"Millbury",1424,"210",2020-06-24,210
"Millis",636,"48",2020-06-24,48
"Millville",233,"19",2020-06-24,19
"Milton",2381,"300",2020-06-24,300
"Monroe",6,"0",2020-06-24,0
"Monson",528,"36",2020-06-24,36
"Montague",713,"28",2020-06-24,28
"Monterey",53,"0",2020-06-24,0
"Montgomery",12,"<5",2020-06-24,2
"Mount Washington",2,"0",2020-06-24,0
"Nahant",333,"40",2020-06-24,40
"Nantucket",970,"13",2020-06-24,13
"Natick",3021,"413",2020-06-24,413
"Needham",2664,"329",2020-06-24,329
"New Ashford",8,"0",2020-06-24,0
"New Bedford",13668,"2095",2020-06-24,2095
"New Braintree",54,"<5",2020-06-24,2
