"town","tests_total","tests_pos","dt","tests_posn"
"Abington",525,"<5",2020-08-19,2
"Acton",1088,"5",2020-08-19,5
"Acushnet",276,"<5",2020-08-19,2
"Adams",233,"0",2020-08-19,0
"Agawam",1927,"9",2020-08-19,9
"Alford",11,"0",2020-08-19,0
"Amesbury",581,"<5",2020-08-19,2
"Amherst",1862,"<5",2020-08-19,2
"Andover",1697,"14",2020-08-19,14
"Aquinnah",25,"0",2020-08-19,0
"Arlington",2079,"<5",2020-08-19,2
"Ashburnham",304,"<5",2020-08-19,2
"Ashby",97,"<5",2020-08-19,2
"Ashfield",41,"0",2020-08-19,0
"Ashland",851,"8",2020-08-19,8
"Athol",524,"11",2020-08-19,11
"Attleboro",1294,"20",2020-08-19,20
"Auburn",650,"5",2020-08-19,5
"Avon",178,"0",2020-08-19,0
"Ayer",394,"<5",2020-08-19,2
"Barnstable",1635,"11",2020-08-19,11
"Barre",175,"0",2020-08-19,0
"Becket",77,"0",2020-08-19,0
"Bedford",973,"<5",2020-08-19,2
"Belchertown",636,"<5",2020-08-19,2
"Bellingham",566,"11",2020-08-19,11
"Belmont",1131,"<5",2020-08-19,2
"Berkley",215,"<5",2020-08-19,2
"Berlin",159,"<5",2020-08-19,2
"Bernardston",74,"0",2020-08-19,0
"Beverly",1800,"15",2020-08-19,15
"Billerica",1522,"9",2020-08-19,9
"Blackstone",293,"<5",2020-08-19,2
"Blandford",21,"0",2020-08-19,0
"Bolton",252,"0",2020-08-19,0
"Boston",35705,"627",2020-08-19,627
"Bourne",734,"<5",2020-08-19,2
"Boxborough",234,"0",2020-08-19,0
"Boxford",325,"<5",2020-08-19,2
"Boylston",206,"<5",2020-08-19,2
"Braintree",1575,"8",2020-08-19,8
"Brewster",269,"0",2020-08-19,0
"Bridgewater",831,"6",2020-08-19,6
"Brimfield",125,"0",2020-08-19,0
"Brockton",4125,"117",2020-08-19,117
"Brookfield",159,"<5",2020-08-19,2
"Brookline",2845,"9",2020-08-19,9
"Buckland",12,"0",2020-08-19,0
"Burlington",944,"7",2020-08-19,7
"Cambridge",7763,"40",2020-08-19,40
"Canton",1055,"17",2020-08-19,17
"Carlisle",224,"<5",2020-08-19,2
"Carver",343,"<5",2020-08-19,2
"Charlemont",53,"0",2020-08-19,0
"Charlton",639,"7",2020-08-19,7
"Chatham",236,"0",2020-08-19,0
"Chelmsford",1449,"8",2020-08-19,8
"Chelsea",3010,"126",2020-08-19,126
"Cheshire",111,"0",2020-08-19,0
"Chester",30,"0",2020-08-19,0
"Chesterfield",30,"<5",2020-08-19,2
"Chicopee",1971,"26",2020-08-19,26
"Chilmark",162,"0",2020-08-19,0
"Clarksburg",40,"0",2020-08-19,0
"Clinton",574,"6",2020-08-19,6
"Cohasset",231,"<5",2020-08-19,2
"Colrain",51,"0",2020-08-19,0
"Concord",1187,"8",2020-08-19,8
"Conway",79,"0",2020-08-19,0
"Cummington",35,"0",2020-08-19,0
"Dalton",252,"0",2020-08-19,0
"Danvers",1112,"12",2020-08-19,12
"Dartmouth",959,"15",2020-08-19,15
"Dedham",1144,"9",2020-08-19,9
"Deerfield",234,"<5",2020-08-19,2
"Dennis",359,"<5",2020-08-19,2
"Dighton",214,"<5",2020-08-19,2
"Douglas",267,"<5",2020-08-19,2
"Dover",267,"0",2020-08-19,0
"Dracut",1240,"8",2020-08-19,8
"Dudley",481,"<5",2020-08-19,2
"Dunstable",110,"0",2020-08-19,0
"Duxbury",624,"<5",2020-08-19,2
"East Bridgewater",432,"6",2020-08-19,6
"East Brookfield",79,"0",2020-08-19,0
"East Longmeadow",629,"6",2020-08-19,6
"Eastham",123,"0",2020-08-19,0
"Easthampton",724,"9",2020-08-19,9
"Easton",2065,"13",2020-08-19,13
"Edgartown",407,"0",2020-08-19,0
"Egremont",24,"0",2020-08-19,0
"Erving",44,"0",2020-08-19,0
"Essex",106,"0",2020-08-19,0
"Everett",2081,"75",2020-08-19,75
"Fairhaven",526,"6",2020-08-19,6
"Fall River",3619,"74",2020-08-19,74
"Falmouth",1336,"5",2020-08-19,5
"Fitchburg",1387,"27",2020-08-19,27
"Florida",19,"0",2020-08-19,0
"Foxborough",1856,"8",2020-08-19,8
"Framingham",3418,"62",2020-08-19,62
"Franklin",1257,"6",2020-08-19,6
"Freetown",258,"<5",2020-08-19,2
"Gardner",771,"5",2020-08-19,5
"Georgetown",328,"5",2020-08-19,5
"Gill",122,"0",2020-08-19,0
"Gloucester",922,"<5",2020-08-19,2
"Goshen",20,"0",2020-08-19,0
"Gosnold",NA,"0",2020-08-19,0
"Grafton",696,"<5",2020-08-19,2
"Granby",230,"<5",2020-08-19,2
"Granville",43,"0",2020-08-19,0
"Great Barrington",419,"<5",2020-08-19,2
"Greenfield",733,"<5",2020-08-19,2
"Groton",486,"0",2020-08-19,0
"Groveland",239,"<5",2020-08-19,2
"Hadley",322,"0",2020-08-19,0
"Halifax",244,"0",2020-08-19,0
"Hamilton",348,"5",2020-08-19,5
"Hampden",157,"<5",2020-08-19,2
"Hancock",14,"0",2020-08-19,0
"Hanover",397,"<5",2020-08-19,2
"Hanson",310,"9",2020-08-19,9
"Hardwick",59,"0",2020-08-19,0
"Harvard",259,"0",2020-08-19,0
"Harwich",447,"<5",2020-08-19,2
"Hatfield",152,"<5",2020-08-19,2
"Haverhill",2549,"27",2020-08-19,27
"Hawley",3,"0",2020-08-19,0
"Heath",5,"0",2020-08-19,0
"Hingham",929,"5",2020-08-19,5
"Hinsdale",83,"0",2020-08-19,0
"Holbrook",345,"<5",2020-08-19,2
"Holden",963,"<5",2020-08-19,2
"Holland",104,"<5",2020-08-19,2
"Holliston",669,"0",2020-08-19,0
"Holyoke",1927,"41",2020-08-19,41
"Hopedale",264,"<5",2020-08-19,2
"Hopkinton",764,"<5",2020-08-19,2
"Hubbardston",131,"0",2020-08-19,0
"Hudson",861,"10",2020-08-19,10
"Hull",296,"7",2020-08-19,7
"Huntington",82,"0",2020-08-19,0
"Ipswich",506,"5",2020-08-19,5
"Kingston",474,"<5",2020-08-19,2
"Lakeville",383,"<5",2020-08-19,2
"Lancaster",344,"<5",2020-08-19,2
"Lanesborough",96,"0",2020-08-19,0
"Lawrence",4761,"106",2020-08-19,106
"Lee",214,"0",2020-08-19,0
"Leicester",448,"<5",2020-08-19,2
"Lenox",244,"0",2020-08-19,0
"Leominster",1588,"14",2020-08-19,14
"Leverett",89,"<5",2020-08-19,2
"Lexington",1082,"<5",2020-08-19,2
"Leyden",5,"0",2020-08-19,0
"Lincoln",308,"5",2020-08-19,5
"Littleton",454,"<5",2020-08-19,2
"Longmeadow",819,"7",2020-08-19,7
"Lowell",4785,"47",2020-08-19,47
"Ludlow",658,"<5",2020-08-19,2
"Lunenburg",402,"<5",2020-08-19,2
"Lynn",5569,"334",2020-08-19,334
"Lynnfield",537,"6",2020-08-19,6
"Malden",2427,"40",2020-08-19,40
"Manchester",177,"0",2020-08-19,0
"Mansfield",805,"14",2020-08-19,14
"Marblehead",812,"9",2020-08-19,9
"Marion",448,"<5",2020-08-19,2
"Marlborough",2035,"37",2020-08-19,37
"Marshfield",821,"<5",2020-08-19,2
"Mashpee",588,"<5",2020-08-19,2
"Mattapoisett",186,"<5",2020-08-19,2
"Maynard",458,"<5",2020-08-19,2
"Medfield",512,"<5",2020-08-19,2
"Medford",2818,"31",2020-08-19,31
"Medway",498,"<5",2020-08-19,2
"Melrose",1454,"8",2020-08-19,8
"Mendon",228,"0",2020-08-19,0
"Merrimac",227,"0",2020-08-19,0
"Methuen",2182,"37",2020-08-19,37
"Middleborough",820,"12",2020-08-19,12
"Middlefield",6,"0",2020-08-19,0
"Middleton",331,"<5",2020-08-19,2
"Milford",1213,"13",2020-08-19,13
"Millbury",492,"<5",2020-08-19,2
"Millis",300,"<5",2020-08-19,2
"Millville",78,"<5",2020-08-19,2
"Milton",2266,"16",2020-08-19,16
"Monroe",2,"0",2020-08-19,0
"Monson",263,"<5",2020-08-19,2
"Montague",299,"0",2020-08-19,0
"Monterey",42,"0",2020-08-19,0
"Montgomery",10,"0",2020-08-19,0
"Mount Washington",2,"0",2020-08-19,0
"Nahant",177,"0",2020-08-19,0
"Nantucket",532,"<5",2020-08-19,2
"Natick",1590,"9",2020-08-19,9
"Needham",1493,"7",2020-08-19,7
"New Ashford",7,"0",2020-08-19,0
"New Bedford",3393,"70",2020-08-19,70
"New Braintree",33,"0",2020-08-19,0
"New Marlborough",33,"<5",2020-08-19,2
"New Salem",39,"0",2020-08-19,0
"Newbury",216,"0",2020-08-19,0
"Newburyport",808,"<5",2020-08-19,2
"Newton",4613,"41",2020-08-19,41
"Norfolk",384,"0",2020-08-19,0
"North Adams",337,"0",2020-08-19,0
"North Andover",1609,"8",2020-08-19,8
"North Attleborough",861,"17",2020-08-19,17
"North Brookfield",198,"<5",2020-08-19,2
"North Reading",697,"8",2020-08-19,8
"Northampton",1619,"9",2020-08-19,9
"Northborough",648,"<5",2020-08-19,2
"Northbridge",666,"9",2020-08-19,9
"Northfield",126,"<5",2020-08-19,2
"Norton",663,"9",2020-08-19,9
"Norwell",387,"<5",2020-08-19,2
"Norwood",1174,"13",2020-08-19,13
"Oak Bluffs",297,"<5",2020-08-19,2
"Oakham",69,"0",2020-08-19,0
"Orange",324,"0",2020-08-19,0
"Orleans",146,"0",2020-08-19,0
"Otis",40,"0",2020-08-19,0
"Oxford",482,"<5",2020-08-19,2
"Palmer",353,"6",2020-08-19,6
"Paxton",207,"<5",2020-08-19,2
"Peabody",2364,"39",2020-08-19,39
"Pelham",51,"0",2020-08-19,0
"Pembroke",523,"<5",2020-08-19,2
"Pepperell",409,"<5",2020-08-19,2
"Peru",12,"0",2020-08-19,0
"Petersham",40,"0",2020-08-19,0
"Phillipston",45,"<5",2020-08-19,2
"Pittsfield",1780,"7",2020-08-19,7
"Plainfield",24,"0",2020-08-19,0
"Plainville",301,"<5",2020-08-19,2
"Plymouth",1940,"7",2020-08-19,7
"Plympton",78,"0",2020-08-19,0
"Princeton",193,"0",2020-08-19,0
"Provincetown",68,"<5",2020-08-19,2
"Quincy",3735,"52",2020-08-19,52
"Randolph",1676,"14",2020-08-19,14
"Raynham",447,"<5",2020-08-19,2
"Reading",1085,"<5",2020-08-19,2
"Rehoboth",289,"5",2020-08-19,5
"Revere",3890,"161",2020-08-19,161
"Richmond",55,"0",2020-08-19,0
"Rochester",152,"<5",2020-08-19,2
"Rockland",443,"<5",2020-08-19,2
"Rockport",208,"<5",2020-08-19,2
"Rowe",15,"0",2020-08-19,0
"Rowley",297,"<5",2020-08-19,2
"Royalston",58,"<5",2020-08-19,2
"Russell",44,"<5",2020-08-19,2
"Rutland",377,"<5",2020-08-19,2
"Salem",1913,"66",2020-08-19,66
"Salisbury",255,"0",2020-08-19,0
"Sandisfield",28,"<5",2020-08-19,2
"Sandwich",611,"<5",2020-08-19,2
"Saugus",1140,"36",2020-08-19,36
"Savoy",16,"0",2020-08-19,0
"Scituate",534,"<5",2020-08-19,2
"Seekonk",359,"7",2020-08-19,7
"Sharon",722,"<5",2020-08-19,2
"Sheffield",95,"0",2020-08-19,0
"Shelburne",106,"0",2020-08-19,0
"Sherborn",188,"<5",2020-08-19,2
"Shirley",228,"<5",2020-08-19,2
"Shrewsbury",1663,"8",2020-08-19,8
"Shutesbury",92,"0",2020-08-19,0
"Somerset",565,"<5",2020-08-19,2
"Somerville",5018,"40",2020-08-19,40
"South Hadley",861,"28",2020-08-19,28
"Southampton",211,"0",2020-08-19,0
"Southborough",434,"0",2020-08-19,0
"Southbridge",832,"6",2020-08-19,6
"Southwick",350,"<5",2020-08-19,2
"Spencer",464,"11",2020-08-19,11
"Springfield",5575,"99",2020-08-19,99
"Sterling",473,"<5",2020-08-19,2
"Stockbridge",65,"0",2020-08-19,0
"Stoneham",994,"5",2020-08-19,5
"Stoughton",992,"18",2020-08-19,18
"Stow",345,"0",2020-08-19,0
"Sturbridge",381,"<5",2020-08-19,2
"Sudbury",911,"<5",2020-08-19,2
"Sunderland",199,"0",2020-08-19,0
"Sutton",341,"5",2020-08-19,5
"Swampscott",767,"<5",2020-08-19,2
"Swansea",476,"<5",2020-08-19,2
"Taunton",2284,"30",2020-08-19,30
"Templeton",291,"<5",2020-08-19,2
"Tewksbury",1107,"17",2020-08-19,17
"Tisbury",466,"<5",2020-08-19,2
"Tolland",3,"0",2020-08-19,0
"Topsfield",347,"5",2020-08-19,5
"Townsend",320,"<5",2020-08-19,2
"Truro",60,"0",2020-08-19,0
"Tyngsborough",415,"<5",2020-08-19,2
"Tyringham",10,"0",2020-08-19,0
"Upton",258,"<5",2020-08-19,2
"Uxbridge",510,"<5",2020-08-19,2
"Wakefield",1189,"7",2020-08-19,7
"Wales",65,"0",2020-08-19,0
"Walpole",975,"9",2020-08-19,9
"Waltham",2765,"20",2020-08-19,20
"Ware",380,"<5",2020-08-19,2
"Wareham",552,"<5",2020-08-19,2
"Warren",134,"0",2020-08-19,0
"Warwick",23,"0",2020-08-19,0
"Washington",19,"0",2020-08-19,0
"Watertown",1533,"12",2020-08-19,12
"Wayland",667,"<5",2020-08-19,2
"Webster",733,"9",2020-08-19,9
"Wellesley",1240,"5",2020-08-19,5
"Wellfleet",159,"<5",2020-08-19,2
"Wendell",31,"0",2020-08-19,0
"Wenham",342,"<5",2020-08-19,2
"West Boylston",323,"<5",2020-08-19,2
"West Bridgewater",318,"0",2020-08-19,0
"West Brookfield",252,"<5",2020-08-19,2
"West Newbury",168,"0",2020-08-19,0
"West Springfield",974,"5",2020-08-19,5
"West Stockbridge",56,"<5",2020-08-19,2
"West Tisbury",196,"<5",2020-08-19,2
"Westborough",738,"11",2020-08-19,11
"Westfield",1417,"11",2020-08-19,11
"Westford",1029,"6",2020-08-19,6
"Westhampton",40,"0",2020-08-19,0
"Westminster",279,"<5",2020-08-19,2
"Weston",640,"<5",2020-08-19,2
"Westport",567,"<5",2020-08-19,2
"Westwood",745,"5",2020-08-19,5
"Weymouth",1895,"17",2020-08-19,17
"Whately",36,"<5",2020-08-19,2
"Whitman",454,"8",2020-08-19,8
"Wilbraham",581,"6",2020-08-19,6
"Williamsburg",143,"<5",2020-08-19,2
"Williamstown",244,"<5",2020-08-19,2
"Wilmington",748,"7",2020-08-19,7
"Winchendon",334,"0",2020-08-19,0
"Winchester",1123,"<5",2020-08-19,2
"Windsor",20,"0",2020-08-19,0
"Winthrop",922,"30",2020-08-19,30
"Woburn",1520,"13",2020-08-19,13
"Worcester",11486,"110",2020-08-19,110
"Worthington",47,"0",2020-08-19,0
"Wrentham",797,"<5",2020-08-19,2
"Yarmouth",623,"<5",2020-08-19,2
"Unknown",9538,"47",2020-08-19,47
