"town","tests_total","tests_pos","dt","tests_posn"
"Abington",657,"12",2020-09-09,12
"Acton",1295,"5",2020-09-09,5
"Acushnet",363,"<5",2020-09-09,2
"Adams",388,"<5",2020-09-09,2
"Agawam",1592,"15",2020-09-09,15
"Alford",7,"0",2020-09-09,0
"Amesbury",753,"<5",2020-09-09,2
"Amherst",19699,"19",2020-09-09,19
"Andover",2732,"13",2020-09-09,13
"Aquinnah",13,"0",2020-09-09,0
"Arlington",2843,"15",2020-09-09,15
"Ashburnham",332,"<5",2020-09-09,2
"Ashby",116,"0",2020-09-09,0
"Ashfield",100,"<5",2020-09-09,2
"Ashland",965,"17",2020-09-09,17
"Athol",571,"<5",2020-09-09,2
"Attleboro",1658,"37",2020-09-09,37
"Auburn",890,"5",2020-09-09,5
"Avon",184,"0",2020-09-09,0
"Ayer",530,"0",2020-09-09,0
"Barnstable",1529,"32",2020-09-09,32
"Barre",269,"<5",2020-09-09,2
"Becket",61,"0",2020-09-09,0
"Bedford",772,"5",2020-09-09,5
"Belchertown",1233,"<5",2020-09-09,2
"Bellingham",664,"<5",2020-09-09,2
"Belmont",1709,"<5",2020-09-09,2
"Berkley",276,"<5",2020-09-09,2
"Berlin",147,"0",2020-09-09,0
"Bernardston",138,"0",2020-09-09,0
"Beverly",5647,"15",2020-09-09,15
"Billerica",1795,"13",2020-09-09,13
"Blackstone",328,"9",2020-09-09,9
"Blandford",48,"0",2020-09-09,0
"Bolton",331,"0",2020-09-09,0
"Boston",93910,"725",2020-09-09,725
"Bourne",970,"<5",2020-09-09,2
"Boxborough",231,"0",2020-09-09,0
"Boxford",477,"<5",2020-09-09,2
"Boylston",272,"0",2020-09-09,0
"Braintree",2077,"9",2020-09-09,9
"Brewster",465,"<5",2020-09-09,2
"Bridgewater",2464,"10",2020-09-09,10
"Brimfield",180,"<5",2020-09-09,2
"Brockton",4717,"86",2020-09-09,86
"Brookfield",197,"0",2020-09-09,0
"Brookline",3936,"27",2020-09-09,27
"Buckland",21,"0",2020-09-09,0
"Burlington",1133,"5",2020-09-09,5
"Cambridge",21122,"31",2020-09-09,31
"Canton",1496,"9",2020-09-09,9
"Carlisle",266,"0",2020-09-09,0
"Carver",404,"7",2020-09-09,7
"Charlemont",76,"0",2020-09-09,0
"Charlton",912,"<5",2020-09-09,2
"Chatham",189,"7",2020-09-09,7
"Chelmsford",1607,"23",2020-09-09,23
