"town","tests_total","tests_pos","dt","tests_posn"
"Abington",658,"8",2020-08-26,8
"Acton",1157,"11",2020-08-26,11
"Acushnet",312,"<5",2020-08-26,2
"Adams",271,"<5",2020-08-26,2
"Agawam",1611,"16",2020-08-26,16
"Alford",12,"0",2020-08-26,0
"Amesbury",578,"0",2020-08-26,0
"Amherst",6956,"6",2020-08-26,6
"Andover",1743,"11",2020-08-26,11
"Aquinnah",14,"0",2020-08-26,0
"Arlington",2331,"<5",2020-08-26,2
"Ashburnham",414,"0",2020-08-26,0
"Ashby",108,"<5",2020-08-26,2
"Ashfield",61,"0",2020-08-26,0
"Ashland",922,"9",2020-08-26,9
"Athol",590,"12",2020-08-26,12
"Attleboro",1507,"20",2020-08-26,20
"Auburn",709,"7",2020-08-26,7
"Avon",185,"<5",2020-08-26,2
"Ayer",436,"<5",2020-08-26,2
"Barnstable",1556,"10",2020-08-26,10
"Barre",189,"0",2020-08-26,0
"Becket",56,"0",2020-08-26,0
"Bedford",709,"<5",2020-08-26,2
"Belchertown",818,"<5",2020-08-26,2
"Bellingham",609,"11",2020-08-26,11
"Belmont",1372,"6",2020-08-26,6
"Berkley",224,"<5",2020-08-26,2
"Berlin",121,"<5",2020-08-26,2
"Bernardston",87,"0",2020-08-26,0
"Beverly",2516,"14",2020-08-26,14
"Billerica",1549,"14",2020-08-26,14
"Blackstone",308,"<5",2020-08-26,2
"Blandford",31,"<5",2020-08-26,2
"Bolton",283,"0",2020-08-26,0
"Boston",45494,"691",2020-08-26,691
"Bourne",755,"6",2020-08-26,6
"Boxborough",244,"0",2020-08-26,0
"Boxford",361,"<5",2020-08-26,2
"Boylston",207,"<5",2020-08-26,2
"Braintree",1692,"13",2020-08-26,13
"Brewster",356,"0",2020-08-26,0
"Bridgewater",1124,"11",2020-08-26,11
"Brimfield",133,"0",2020-08-26,0
"Brockton",4521,"116",2020-08-26,116
"Brookfield",195,"<5",2020-08-26,2
"Brookline",3384,"15",2020-08-26,15
"Buckland",6,"0",2020-08-26,0
"Burlington",1099,"<5",2020-08-26,2
"Cambridge",11729,"29",2020-08-26,29
"Canton",1362,"16",2020-08-26,16
"Carlisle",230,"<5",2020-08-26,2
"Carver",359,"<5",2020-08-26,2
"Charlemont",55,"0",2020-08-26,0
"Charlton",717,"6",2020-08-26,6
"Chatham",180,"<5",2020-08-26,2
"Chelmsford",1490,"11",2020-08-26,11
"Chelsea",3112,"168",2020-08-26,168
"Cheshire",117,"0",2020-08-26,0
"Chester",31,"0",2020-08-26,0
"Chesterfield",44,"<5",2020-08-26,2
"Chicopee",2047,"21",2020-08-26,21
"Chilmark",151,"0",2020-08-26,0
"Clarksburg",42,"0",2020-08-26,0
"Clinton",611,"13",2020-08-26,13
"Cohasset",296,"0",2020-08-26,0
"Colrain",60,"0",2020-08-26,0
"Concord",1235,"5",2020-08-26,5
"Conway",93,"0",2020-08-26,0
"Cummington",34,"0",2020-08-26,0
