"town","tests_total","tests_pos","dt","tests_posn"
"Abington",824,"8",2020-09-30,8
"Acton",1466,"5",2020-09-30,5
"Acushnet",472,"11",2020-09-30,11
"Adams",473,"<5",2020-09-30,2
"Agawam",1722,"14",2020-09-30,14
"Alford",11,"0",2020-09-30,0
"Amesbury",855,"<5",2020-09-30,2
"Amherst",21862,"24",2020-09-30,24
"Andover",3337,"26",2020-09-30,26
"Aquinnah",15,"0",2020-09-30,0
"Arlington",4137,"20",2020-09-30,20
"Ashburnham",395,"0",2020-09-30,0
"Ashby",142,"0",2020-09-30,0
"Ashfield",106,"0",2020-09-30,0
"Ashland",1247,"9",2020-09-30,9
"Athol",567,"5",2020-09-30,5
"Attleboro",2303,"60",2020-09-30,60
"Auburn",1186,"13",2020-09-30,13
"Avon",245,"6",2020-09-30,6
"Ayer",628,"<5",2020-09-30,2
"Barnstable",1774,"13",2020-09-30,13
"Barre",282,"<5",2020-09-30,2
"Becket",96,"0",2020-09-30,0
"Bedford",1188,"12",2020-09-30,12
"Belchertown",1357,"<5",2020-09-30,2
"Bellingham",755,"8",2020-09-30,8
"Belmont",2794,"5",2020-09-30,5
"Berkley",331,"<5",2020-09-30,2
"Berlin",189,"<5",2020-09-30,2
"Bernardston",157,"0",2020-09-30,0
"Beverly",7729,"9",2020-09-30,9
"Billerica",2385,"28",2020-09-30,28
"Blackstone",385,"<5",2020-09-30,2
"Blandford",42,"0",2020-09-30,0
"Bolton",372,"0",2020-09-30,0
"Boston",179475,"825",2020-09-30,825
"Bourne",1405,"11",2020-09-30,11
"Boxborough",288,"0",2020-09-30,0
"Boxford",505,"<5",2020-09-30,2
"Boylston",333,"0",2020-09-30,0
"Braintree",2717,"38",2020-09-30,38
"Brewster",363,"<5",2020-09-30,2
"Bridgewater",2689,"24",2020-09-30,24
"Brimfield",177,"0",2020-09-30,0
"Brockton",5623,"82",2020-09-30,82
"Brookfield",148,"0",2020-09-30,0
"Brookline",9681,"27",2020-09-30,27
"Buckland",12,"0",2020-09-30,0
"Burlington",1616,"21",2020-09-30,21
"Cambridge",41407,"39",2020-09-30,39
"Canton",1760,"21",2020-09-30,21
"Carlisle",318,"<5",2020-09-30,2
"Carver",466,"<5",2020-09-30,2
"Charlemont",77,"<5",2020-09-30,2
"Charlton",922,"6",2020-09-30,6
"Chatham",231,"<5",2020-09-30,2
"Chelmsford",1962,"29",2020-09-30,29
"Chelsea",4690,"99",2020-09-30,99
"Cheshire",179,"0",2020-09-30,0
"Chester",54,"<5",2020-09-30,2
"Chesterfield",56,"0",2020-09-30,0
"Chicopee",3275,"35",2020-09-30,35
"Chilmark",139,"0",2020-09-30,0
"Clarksburg",71,"0",2020-09-30,0
